Seed 1656949570
ARCH 0|F_ID 2|LIMIT 6
before: 
8
6(174)
Melhor resultado nxn: signal_transduction_in_fibroblasts, 416, 12, 12, 1701, 0, 6, 1152011, 70317.39, 14, 0.00, 0: 50; 1: 81; 2: 105; 3: 79; 4: 68; 5: 77; 6: 86; 
signal_transduction_in_fibroblasts, 851, 12, 12, 1787, 0, 6, 1152030, 70317.39, 0, 0.00, 0: 50; 1: 58; 2: 93; 3: 90; 4: 96; 5: 65; 6: 94; 
signal_transduction_in_fibroblasts, 325, 10, 15, 1788, 0, 6, 1200861, 70317.39, 0, 0.00, 0: 50; 1: 71; 2: 83; 3: 83; 4: 89; 5: 74; 6: 96; 
signal_transduction_in_fibroblasts, 780, 11, 13, 1791, 0, 6, 1146590, 70317.39, 138, 0.00, 0: 50; 1: 74; 2: 78; 3: 83; 4: 83; 5: 88; 6: 90; 
signal_transduction_in_fibroblasts, 570, 10, 15, 1792, 0, 6, 1200906, 70317.39, 0, 0.00, 0: 50; 1: 82; 2: 75; 3: 71; 4: 87; 5: 87; 6: 94; 
signal_transduction_in_fibroblasts, 703, 13, 11, 1792, 0, 6, 1146605, 70317.39, 0, 0.00, 0: 50; 1: 71; 2: 73; 3: 101; 4: 75; 5: 84; 6: 92; 
signal_transduction_in_fibroblasts, 296, 12, 12, 1793, 0, 6, 1152019, 70317.39, 11, 0.00, 0: 50; 1: 69; 2: 87; 3: 90; 4: 75; 5: 70; 6: 105; 
signal_transduction_in_fibroblasts, 600, 10, 15, 1793, 0, 6, 1200884, 70317.39, 20, 0.00, 0: 50; 1: 79; 2: 77; 3: 80; 4: 82; 5: 76; 6: 102; 
signal_transduction_in_fibroblasts, 701,  9, 16, 1797, 0, 6, 1152033, 70317.39, 0, 0.00, 0: 50; 1: 77; 2: 71; 3: 92; 4: 78; 5: 78; 6: 100; 
signal_transduction_in_fibroblasts, 849, 13, 11, 1798, 0, 6, 1146574, 70317.39, 0, 0.00, 0: 50; 1: 80; 2: 64; 3: 91; 4: 85; 5: 79; 6: 97; 
signal_transduction_in_fibroblasts, 695, 12, 12, 1798, 0, 6, 1152015, 70317.39, 0, 0.00, 0: 50; 1: 66; 2: 81; 3: 85; 4: 94; 5: 81; 6: 89; 
signal_transduction_in_fibroblasts, 606, 10, 15, 1800, 0, 6, 1200939, 70317.39, 0, 0.00, 0: 50; 1: 71; 2: 89; 3: 76; 4: 76; 5: 85; 6: 99; 
signal_transduction_in_fibroblasts, 697, 10, 15, 1801, 0, 6, 1200915, 70317.39, 0, 0.00, 0: 50; 1: 68; 2: 80; 3: 79; 4: 95; 5: 88; 6: 86; 
signal_transduction_in_fibroblasts, 876, 11, 13, 1802, 0, 6, 1146583, 70317.39, 80, 0.00, 0: 50; 1: 67; 2: 82; 3: 87; 4: 80; 5: 90; 6: 90; 
signal_transduction_in_fibroblasts, 832, 13, 11, 1803, 0, 6, 1146558, 70317.39, 26, 0.00, 0: 50; 1: 70; 2: 81; 3: 83; 4: 79; 5: 92; 6: 91; 
signal_transduction_in_fibroblasts, 914, 14, 10, 1804, 0, 6, 1128680, 70317.39, 0, 0.00, 0: 50; 1: 64; 2: 81; 3: 96; 4: 80; 5: 80; 6: 95; 
signal_transduction_in_fibroblasts, 476, 10, 14, 1807, 0, 6, 1128680, 70317.39, 124, 0.00, 0: 50; 1: 67; 2: 74; 3: 90; 4: 96; 5: 76; 6: 93; 
signal_transduction_in_fibroblasts, 925, 11, 13, 1807, 0, 6, 1146619, 70317.39, 0, 0.00, 0: 50; 1: 65; 2: 82; 3: 89; 4: 85; 5: 79; 6: 96; 
signal_transduction_in_fibroblasts, 806, 13, 11, 1807, 0, 6, 1146617, 70317.39, 0, 0.00, 0: 50; 1: 70; 2: 82; 3: 81; 4: 83; 5: 82; 6: 98; 
signal_transduction_in_fibroblasts, 809, 10, 15, 1808, 0, 6, 1200951, 70317.39, 0, 0.00, 0: 50; 1: 73; 2: 67; 3: 91; 4: 88; 5: 86; 6: 91; 
signal_transduction_in_fibroblasts, 370, 12, 12, 1810, 0, 6, 1152043, 70317.39, 0, 0.00, 0: 50; 1: 73; 2: 67; 3: 95; 4: 81; 5: 86; 6: 94; 
signal_transduction_in_fibroblasts, 197, 11, 13, 1810, 0, 6, 1146566, 70317.39, 0, 0.00, 0: 50; 1: 66; 2: 85; 3: 77; 4: 91; 5: 83; 6: 94; 
signal_transduction_in_fibroblasts, 937, 12, 12, 1813, 0, 6, 1152018, 70317.39, 0, 0.00, 0: 50; 1: 68; 2: 83; 3: 83; 4: 85; 5: 72; 6: 105; 
signal_transduction_in_fibroblasts, 574, 10, 14, 1814, 0, 6, 1128680, 70317.39, 0, 0.00, 0: 50; 1: 67; 2: 75; 3: 82; 4: 100; 5: 81; 6: 91; 
