Seed 1656949570
ARCH 0|F_ID 3|LIMIT 5
before: 
06(655)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 906,  8,  8,  464, 0, 6, 506506, 66463.42, 0, 0.00, 0: 5; 1: 53; 2: 54; 3: 47; 4: 21; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 637,  8,  8,  480, 0, 6, 506541, 66463.42, 0, 0.00, 0: 5; 1: 39; 2: 68; 3: 45; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 268,  6, 11,  480, 0, 6, 521819, 66463.42, 43, 0.00, 0: 5; 1: 49; 2: 56; 3: 45; 4: 22; 5: 12; 6: 6; 
T-LGL_Survival_Network_2011, 730,  8,  8,  480, 0, 6, 506532, 66463.42, 0, 0.00, 0: 5; 1: 40; 2: 63; 3: 52; 4: 20; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 926,  7,  9,  480, 0, 6, 499222, 66463.42, 0, 0.00, 0: 5; 1: 42; 2: 66; 3: 42; 4: 23; 5: 14; 6: 3; 
T-LGL_Survival_Network_2011, 679,  8,  8,  480, 0, 6, 506454, 66463.42, 0, 0.00, 0: 5; 1: 47; 2: 53; 3: 51; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011,  36,  8,  8,  480, 0, 6, 506508, 66463.42, 53, 0.00, 0: 5; 1: 47; 2: 53; 3: 52; 4: 22; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 189,  6, 11,  480, 0, 6, 521845, 66463.42, 0, 0.00, 0: 5; 1: 49; 2: 55; 3: 48; 4: 20; 5: 11; 6: 7; 
T-LGL_Survival_Network_2011, 574,  8,  8,  480, 0, 6, 506522, 66463.42, 0, 0.00, 0: 5; 1: 42; 2: 61; 3: 50; 4: 22; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 737,  7,  9,  480, 0, 6, 499208, 66463.42, 0, 0.00, 0: 5; 1: 46; 2: 58; 3: 46; 4: 24; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011,   3,  8,  8,  480, 0, 6, 506491, 66463.42, 101, 0.00, 0: 5; 1: 38; 2: 69; 3: 46; 4: 22; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 230,  7,  9,  480, 0, 6, 499188, 66463.42, 0, 0.00, 0: 5; 1: 45; 2: 59; 3: 46; 4: 25; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 752,  9,  7,  480, 0, 6, 499165, 66463.42, 21, 0.00, 0: 5; 1: 42; 2: 63; 3: 46; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 490,  8,  8,  480, 0, 6, 506514, 66463.42, 0, 0.00, 0: 5; 1: 45; 2: 57; 3: 49; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 340,  8,  8,  480, 0, 6, 506516, 66463.42, 57, 0.00, 0: 5; 1: 49; 2: 53; 3: 47; 4: 24; 5: 14; 6: 3; 
T-LGL_Survival_Network_2011, 900,  8,  8,  481, 0, 6, 506528, 66463.42, 28, 0.00, 0: 5; 1: 40; 2: 66; 3: 46; 4: 22; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 219,  8,  8,  481, 0, 6, 506484, 66463.42, 0, 0.00, 0: 5; 1: 41; 2: 62; 3: 50; 4: 22; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 628,  9,  7,  481, 0, 6, 499180, 66463.42, 58, 0.00, 0: 5; 1: 43; 2: 63; 3: 43; 4: 26; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 149,  8,  8,  481, 0, 6, 506521, 66463.42, 0, 0.00, 0: 5; 1: 42; 2: 61; 3: 49; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011,  30,  8,  8,  481, 0, 6, 506507, 66463.42, 0, 0.00, 0: 5; 1: 44; 2: 60; 3: 46; 4: 24; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 988,  8,  8,  481, 0, 6, 506531, 66463.42, 49, 0.00, 0: 5; 1: 44; 2: 57; 3: 52; 4: 22; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 267,  9,  7,  481, 0, 6, 499186, 66463.42, 0, 0.00, 0: 5; 1: 46; 2: 55; 3: 50; 4: 23; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 663,  8,  8,  481, 0, 6, 506553, 66463.42, 0, 0.00, 0: 5; 1: 43; 2: 61; 3: 46; 4: 25; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 614,  8,  8,  481, 0, 6, 506515, 66463.42, 0, 0.00, 0: 5; 1: 44; 2: 58; 3: 50; 4: 22; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 966,  6, 10,  481, 0, 6, 476130, 66463.42, 0, 0.00, 0: 5; 1: 53; 2: 52; 3: 41; 4: 26; 5: 11; 6: 7; 
T-LGL_Survival_Network_2011, 173,  9,  7,  481, 0, 6, 499182, 66463.42, 0, 0.00, 0: 5; 1: 39; 2: 68; 3: 45; 4: 22; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 946,  7,  9,  481, 0, 6, 499184, 66463.42, 0, 0.00, 0: 5; 1: 46; 2: 57; 3: 46; 4: 25; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 549,  8,  8,  481, 0, 6, 506542, 66463.42, 0, 0.00, 0: 5; 1: 36; 2: 72; 3: 45; 4: 22; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 758,  9,  7,  481, 0, 6, 499167, 66463.42, 0, 0.00, 0: 5; 1: 44; 2: 58; 3: 49; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 477,  8,  8,  481, 0, 6, 506543, 66463.42, 0, 0.00, 0: 5; 1: 39; 2: 66; 3: 48; 4: 22; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 234,  8,  8,  481, 0, 6, 506492, 66463.42, 0, 0.00, 0: 5; 1: 43; 2: 58; 3: 52; 4: 22; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 209,  7,  9,  481, 0, 6, 499152, 66463.42, 0, 0.00, 0: 5; 1: 38; 2: 70; 3: 43; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 793,  8,  8,  481, 0, 6, 506436, 66463.42, 0, 0.00, 0: 5; 1: 43; 2: 59; 3: 50; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 201,  9,  7,  481, 0, 6, 499174, 66463.42, 0, 0.00, 0: 5; 1: 44; 2: 59; 3: 48; 4: 24; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 777,  8,  8,  481, 0, 6, 506545, 66463.42, 0, 0.00, 0: 5; 1: 48; 2: 50; 3: 53; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 545,  7,  9,  481, 0, 6, 499188, 66463.42, 0, 0.00, 0: 5; 1: 44; 2: 58; 3: 49; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 558,  9,  7,  481, 0, 6, 499191, 66463.42, 0, 0.00, 0: 5; 1: 42; 2: 59; 3: 53; 4: 21; 5: 12; 6: 3; 
