Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
2(388)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network, 555,  7,  9,  129, 1, 2, 493057, 40740.76, 83, 0.00, 1: 77; 2: 26; 
MAPK_Cancer_Cell_Fate_Network, 372,  8,  7,  138, 1, 2, 443520, 40740.76, 0, 0.00, 1: 68; 2: 35; 
MAPK_Cancer_Cell_Fate_Network, 587,  7,  8,  138, 1, 2, 443520, 40740.76, 227, 0.00, 1: 68; 2: 35; 
MAPK_Cancer_Cell_Fate_Network, 579,  6, 10,  138, 1, 2, 473349, 40740.76, 227, 0.00, 1: 68; 2: 35; 
MAPK_Cancer_Cell_Fate_Network, 821,  8,  7,  138, 1, 2, 443520, 40740.76, 0, 0.00, 1: 68; 2: 35; 
MAPK_Cancer_Cell_Fate_Network, 971,  6, 10,  138, 1, 2, 473005, 40740.76, 228, 0.00, 1: 68; 2: 35; 
MAPK_Cancer_Cell_Fate_Network, 625,  7,  8,  138, 1, 2, 443520, 40740.76, 255, 0.00, 1: 68; 2: 35; 
MAPK_Cancer_Cell_Fate_Network, 417,  6, 10,  138, 1, 2, 473367, 40740.76, 0, 0.00, 1: 68; 2: 35; 
MAPK_Cancer_Cell_Fate_Network, 233,  8,  7,  138, 1, 2, 443520, 40740.76, 65, 0.00, 1: 68; 2: 35; 
MAPK_Cancer_Cell_Fate_Network, 232,  8,  7,  138, 1, 2, 443520, 40740.76, 32, 0.00, 1: 68; 2: 35; 
MAPK_Cancer_Cell_Fate_Network, 392,  7,  8,  138, 1, 2, 443520, 40740.76, 192, 0.00, 1: 68; 2: 35; 
MAPK_Cancer_Cell_Fate_Network, 537,  6, 10,  138, 1, 2, 473256, 40740.76, 221, 0.00, 1: 68; 2: 35; 
MAPK_Cancer_Cell_Fate_Network, 217,  7,  8,  138, 1, 2, 443520, 40740.76, 220, 0.00, 1: 68; 2: 35; 
MAPK_Cancer_Cell_Fate_Network, 247,  6, 10,  138, 1, 2, 473582, 40740.76, 0, 0.00, 1: 68; 2: 35; 
