Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
2(247)
Melhor resultado nxn: Apoptosis_network, 164,  6,  8,   83, 1, 2, 372062, 6927.79, 0, 0.00, 1: 63; 2: 10; 
Apoptosis_network,  78,  5, 10,   88, 1, 2, 383651, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  88,  4, 12,   88, 1, 2, 372230, 6927.79, 232, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 971,  6,  7,   88, 1, 2, 330624, 6927.79, 78, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  79,  5, 10,   88, 1, 2, 384621, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  22,  6,  7,   88, 1, 2, 330624, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 893,  5,  9,   88, 1, 2, 353181, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 736,  7,  6,   89, 1, 2, 330624, 6927.79, 6, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 994,  7,  6,   89, 1, 2, 330624, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 354,  4, 11,   89, 1, 2, 345934, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network,  39,  5,  9,   89, 1, 2, 353438, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 857,  5,  9,   89, 1, 2, 353352, 6927.79, 169, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 272,  5, 10,   89, 1, 2, 384504, 6927.79, 64, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 851,  6,  8,   89, 1, 2, 372030, 6927.79, 78, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 898,  6,  8,   89, 1, 2, 372128, 6927.79, 50, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 978,  5,  9,   89, 1, 2, 353208, 6927.79, 50, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 207,  6,  7,   89, 1, 2, 330624, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network,  80,  6,  7,   89, 1, 2, 330624, 6927.79, 128, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 889,  7,  6,   89, 1, 2, 330624, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 214,  6,  7,   89, 1, 2, 330624, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 862,  6,  8,   89, 1, 2, 371134, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 472,  5,  9,   89, 1, 2, 352876, 6927.79, 104, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 662,  6,  8,   89, 1, 2, 371959, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 617,  6,  7,   89, 1, 2, 330624, 6927.79, 67, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 405,  9,  5,   89, 1, 2, 353368, 6927.79, 85, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 249,  4, 12,   89, 1, 2, 372022, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 602,  6,  8,   89, 1, 2, 371945, 6927.79, 50, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 800,  6,  7,   89, 1, 2, 330624, 6927.79, 6, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 168,  6,  7,   89, 1, 2, 330624, 6927.79, 32, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 365,  7,  6,   89, 1, 2, 330624, 6927.79, 0, 0.00, 1: 57; 2: 16; 
