Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
22(534)
Melhor resultado nxn: Yeast_Apoptosis, 586,  9,  9,  138, 1, 2, 639158, 48960.27, 113, 0.00, 1: 86; 2: 26; 
Yeast_Apoptosis, 995,  7, 12,  143, 1, 2, 658539, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 261,  7, 11,  143, 1, 2, 613098, 48960.27, 85, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 260,  8, 10,  143, 1, 2, 634063, 48960.27, 252, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 259,  8, 10,  143, 1, 2, 634014, 48960.27, 85, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 936,  6, 14,  143, 1, 2, 658399, 48960.27, 32, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 399,  6, 14,  143, 1, 2, 658540, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 398,  9,  9,  143, 1, 2, 639176, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 592,  7, 12,  143, 1, 2, 658764, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 896, 10,  8,  143, 1, 2, 633797, 48960.27, 160, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 568,  7, 12,  143, 1, 2, 659082, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 590, 10,  8,  143, 1, 2, 634016, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 421,  9,  9,  143, 1, 2, 639057, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 316, 11,  7,  143, 1, 2, 613156, 48960.27, 2, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 673,  8, 10,  143, 1, 2, 633858, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 321, 10,  8,  143, 1, 2, 634208, 48960.27, 164, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 914, 10,  8,  143, 1, 2, 633520, 48960.27, 90, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 267, 10,  8,  144, 1, 2, 634287, 48960.27, 85, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 746,  7, 12,  144, 1, 2, 658971, 48960.27, 80, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 193, 11,  7,  144, 1, 2, 613268, 48960.27, 64, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 696,  7, 12,  144, 1, 2, 658528, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 797, 10,  8,  144, 1, 2, 634005, 48960.27, 85, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 264, 10,  8,  144, 1, 2, 633937, 48960.27, 208, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 262,  7, 11,  144, 1, 2, 613248, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 247,  8, 10,  144, 1, 2, 633790, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 190,  6, 14,  144, 1, 2, 658149, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 253,  8, 10,  144, 1, 2, 634050, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 718,  8, 10,  144, 1, 2, 633843, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 876,  9,  9,  144, 1, 2, 639153, 48960.27, 67, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 667,  7, 12,  144, 1, 2, 658924, 48960.27, 86, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 230,  7, 12,  144, 1, 2, 658965, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 748,  9,  9,  144, 1, 2, 639390, 48960.27, 51, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 657,  9,  9,  144, 1, 2, 638870, 48960.27, 64, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 288,  9,  9,  144, 1, 2, 639397, 48960.27, 18, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 804, 11,  7,  144, 1, 2, 613247, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 223,  7, 11,  144, 1, 2, 613214, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 334,  6, 13,  144, 1, 2, 619544, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 652,  6, 13,  144, 1, 2, 619607, 48960.27, 252, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 313,  9,  9,  144, 1, 2, 639300, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 766,  7, 11,  144, 1, 2, 613215, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 329,  6, 14,  144, 1, 2, 658571, 48960.27, 164, 0.00, 1: 80; 2: 32; 
