Seed 1656949570
ARCH 0|F_ID 2|LIMIT 5
before: 
06(618)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 473,  8,  8,  461, 0, 6, 506506, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 47; 3: 31; 4: 25; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 574,  8,  8,  469, 0, 6, 506508, 26569.10, 0, 0.00, 0: 5; 1: 58; 2: 49; 3: 39; 4: 27; 5: 14; 6: 3; 
T-LGL_Survival_Network_2011, 753,  9,  7,  469, 0, 6, 499171, 26569.10, 0, 0.00, 0: 5; 1: 61; 2: 50; 3: 32; 4: 26; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 206,  8,  8,  469, 0, 6, 506507, 26569.10, 0, 0.00, 0: 5; 1: 61; 2: 51; 3: 29; 4: 29; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 146,  9,  7,  469, 0, 6, 499183, 26569.10, 0, 0.00, 0: 5; 1: 69; 2: 38; 3: 34; 4: 26; 5: 20; 6: 3; 
T-LGL_Survival_Network_2011,  53,  9,  7,  469, 0, 6, 499197, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 43; 3: 38; 4: 27; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 859,  9,  7,  469, 0, 6, 499222, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 47; 3: 33; 4: 25; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 543,  8,  8,  469, 0, 6, 506483, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 42; 3: 33; 4: 28; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 872,  7,  9,  469, 0, 6, 499198, 26569.10, 25, 0.00, 0: 5; 1: 61; 2: 50; 3: 30; 4: 30; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 906,  8,  8,  469, 0, 6, 506513, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 47; 3: 32; 4: 27; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 843,  8,  8,  469, 0, 6, 506528, 26569.10, 0, 0.00, 0: 5; 1: 64; 2: 41; 3: 39; 4: 27; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 694,  8,  8,  470, 0, 6, 506483, 26569.10, 0, 0.00, 0: 5; 1: 59; 2: 47; 3: 40; 4: 26; 5: 15; 6: 3; 
T-LGL_Survival_Network_2011, 545,  7,  9,  470, 0, 6, 499198, 26569.10, 0, 0.00, 0: 5; 1: 67; 2: 39; 3: 39; 4: 20; 5: 22; 6: 3; 
T-LGL_Survival_Network_2011, 555,  7,  9,  470, 0, 6, 499202, 26569.10, 0, 0.00, 0: 5; 1: 59; 2: 50; 3: 36; 4: 25; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 806,  7,  9,  470, 0, 6, 499199, 26569.10, 0, 0.00, 0: 5; 1: 64; 2: 41; 3: 40; 4: 24; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 378,  7,  9,  470, 0, 6, 499213, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 44; 3: 37; 4: 25; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 551,  8,  8,  470, 0, 6, 506510, 26569.10, 0, 0.00, 0: 5; 1: 65; 2: 44; 3: 31; 4: 29; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011,  60,  7,  9,  470, 0, 6, 499216, 26569.10, 0, 0.00, 0: 5; 1: 61; 2: 49; 3: 31; 4: 30; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 598,  8,  8,  470, 0, 6, 506516, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 46; 3: 32; 4: 29; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 898,  7,  9,  470, 0, 6, 499204, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 41; 3: 35; 4: 26; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 946,  7,  9,  470, 0, 6, 499202, 26569.10, 0, 0.00, 0: 5; 1: 67; 2: 42; 3: 29; 4: 31; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 526,  9,  7,  470, 0, 6, 499189, 26569.10, 0, 0.00, 0: 5; 1: 65; 2: 45; 3: 30; 4: 28; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 208,  8,  8,  470, 0, 6, 506508, 26569.10, 1, 0.00, 0: 5; 1: 63; 2: 48; 3: 31; 4: 25; 5: 20; 6: 3; 
T-LGL_Survival_Network_2011, 437,  8,  8,  470, 0, 6, 506507, 26569.10, 0, 0.00, 0: 5; 1: 64; 2: 44; 3: 34; 4: 27; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 675,  7,  9,  470, 0, 6, 499215, 26569.10, 0, 0.00, 0: 5; 1: 62; 2: 48; 3: 33; 4: 25; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 507,  9,  7,  470, 0, 6, 499197, 26569.10, 0, 0.00, 0: 5; 1: 59; 2: 49; 3: 37; 4: 26; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 435,  8,  8,  470, 0, 6, 506499, 26569.10, 0, 0.00, 0: 5; 1: 65; 2: 46; 3: 32; 4: 21; 5: 23; 6: 3; 
T-LGL_Survival_Network_2011, 203,  9,  7,  470, 0, 6, 499200, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 43; 3: 30; 4: 30; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 325,  7,  9,  470, 0, 6, 499208, 26569.10, 0, 0.00, 0: 5; 1: 59; 2: 50; 3: 37; 4: 23; 5: 18; 6: 3; 
