Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
582(475)
Melhor resultado nxn: PC12_Cell_Differentiation, 779,  8,  8,  147, 1, 2, 508032, 42822.98, 118, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 642, 10,  7,  148, 1, 2, 554349, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation,  56,  5, 14,  148, 1, 2, 554155, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 207,  6, 12,  148, 1, 2, 566215, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 919,  6, 12,  148, 1, 2, 566258, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation,  62, 10,  7,  148, 1, 2, 554410, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 321,  7, 10,  148, 1, 2, 554366, 42822.98, 164, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 910,  6, 12,  148, 1, 2, 566238, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 747,  8,  9,  148, 1, 2, 566376, 42822.98, 77, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 381,  6, 11,  148, 1, 2, 525328, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 135,  8,  9,  148, 1, 2, 566211, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation,  86,  6, 12,  148, 1, 2, 566031, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 117, 11,  6,  148, 1, 2, 525311, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation,  95,  7, 10,  148, 1, 2, 554203, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 991, 11,  6,  148, 1, 2, 525226, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 812,  7, 10,  148, 1, 2, 554506, 42822.98, 32, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation,  84,  7, 10,  148, 1, 2, 554595, 42822.98, 169, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 372, 10,  7,  148, 1, 2, 554359, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 814,  7, 10,  148, 1, 2, 554544, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 801,  5, 14,  148, 1, 2, 554367, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 111,  6, 11,  148, 1, 2, 525230, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 403, 10,  7,  148, 1, 2, 554445, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 840, 11,  6,  148, 1, 2, 525224, 42822.98, 224, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 749,  7, 10,  148, 1, 2, 554481, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 752, 10,  7,  148, 1, 2, 554585, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 406,  6, 12,  148, 1, 2, 566202, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 872,  8,  9,  148, 1, 2, 566504, 42822.98, 32, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 461,  5, 14,  149, 1, 2, 554476, 42822.98, 85, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 453,  6, 12,  149, 1, 2, 566584, 42822.98, 85, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 256,  7, 10,  149, 1, 2, 554470, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 122,  6, 12,  149, 1, 2, 566201, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 392,  8,  8,  149, 1, 2, 508032, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation,   9,  5, 13,  149, 1, 2, 515840, 42822.98, 114, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 849,  8,  9,  149, 1, 2, 566162, 42822.98, 128, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 213,  5, 14,  149, 1, 2, 554421, 42822.98, 85, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 925, 11,  6,  149, 1, 2, 525261, 42822.98, 85, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 942,  7, 10,  149, 1, 2, 554183, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 215,  5, 14,  149, 1, 2, 554426, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 608,  7, 10,  149, 1, 2, 554412, 42822.98, 5, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 222,  8,  8,  149, 1, 2, 508032, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 967, 11,  6,  149, 1, 2, 525265, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 632,  8,  8,  149, 1, 2, 508032, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 458,  5, 13,  149, 1, 2, 515840, 42822.98, 147, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 628, 10,  7,  149, 1, 2, 554713, 42822.98, 14, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 540,  8,  9,  149, 1, 2, 566304, 42822.98, 169, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 293,  6, 12,  149, 1, 2, 566302, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 107, 10,  7,  149, 1, 2, 554505, 42822.98, 49, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 549,  8,  8,  149, 1, 2, 508032, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 472,  5, 13,  149, 1, 2, 515840, 42822.98, 56, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 829,  8,  9,  149, 1, 2, 566535, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 250,  6, 12,  149, 1, 2, 566476, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 818,  8,  9,  149, 1, 2, 566276, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation,   1,  6, 11,  149, 1, 2, 525294, 42822.98, 114, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation,  98,  5, 14,  149, 1, 2, 554366, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 464,  8,  9,  149, 1, 2, 566417, 42822.98, 208, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 933,  6, 12,  149, 1, 2, 565975, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 570,  6, 12,  149, 1, 2, 566276, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 537,  7, 10,  149, 1, 2, 554477, 42822.98, 136, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 813,  8,  8,  149, 1, 2, 508032, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 238,  6, 12,  149, 1, 2, 566388, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 469,  7, 10,  149, 1, 2, 554489, 42822.98, 85, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 235,  8,  8,  149, 1, 2, 508032, 42822.98, 70, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 995,  6, 12,  149, 1, 2, 566228, 42822.98, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 357,  6, 11,  149, 1, 2, 525319, 42822.98, 0, 0.00, 1: 69; 2: 40; 
