Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
2(684)
Melhor resultado nxn: Apoptosis_network, 569,  6,  7,   83, 1, 2, 330624, 7209.36, 0, 0.00, 1: 63; 2: 10; 
Apoptosis_network, 955,  9,  5,   87, 1, 2, 353438, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  37,  6,  8,   87, 1, 2, 371438, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 586,  6,  7,   87, 1, 2, 330624, 7209.36, 204, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 239,  7,  6,   88, 1, 2, 330624, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 416,  5, 10,   88, 1, 2, 383789, 7209.36, 6, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 682,  6,  8,   88, 1, 2, 372204, 7209.36, 97, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 480,  5,  9,   88, 1, 2, 353503, 7209.36, 7, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 325,  5, 10,   88, 1, 2, 384281, 7209.36, 86, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 456,  9,  5,   88, 1, 2, 353140, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 452,  5, 10,   88, 1, 2, 383829, 7209.36, 58, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 448,  9,  5,   88, 1, 2, 353315, 7209.36, 240, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 705,  6,  8,   88, 1, 2, 371540, 7209.36, 241, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 445,  6,  8,   88, 1, 2, 372234, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 703,  4, 12,   88, 1, 2, 371889, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 441,  5, 10,   88, 1, 2, 384045, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 477,  6,  8,   88, 1, 2, 371839, 7209.36, 86, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 237,  7,  6,   88, 1, 2, 330624, 7209.36, 49, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 486,  4, 12,   88, 1, 2, 372009, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 509,  5,  9,   88, 1, 2, 352849, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 422,  5,  9,   88, 1, 2, 353082, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 229,  4, 11,   88, 1, 2, 346124, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network,   1,  4, 12,   88, 1, 2, 371530, 7209.36, 34, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 414,  5,  9,   88, 1, 2, 353484, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 412,  9,  5,   88, 1, 2, 353234, 7209.36, 58, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 691,  4, 12,   88, 1, 2, 371791, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 523,  4, 11,   88, 1, 2, 346077, 7209.36, 6, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 593,  5, 10,   88, 1, 2, 384361, 7209.36, 240, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 582,  5,  9,   88, 1, 2, 353302, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 355,  6,  8,   88, 1, 2, 371803, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 353,  5,  9,   88, 1, 2, 353335, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 298,  5,  9,   88, 1, 2, 353327, 7209.36, 65, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 649,  5, 10,   88, 1, 2, 384128, 7209.36, 234, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 589,  6,  8,   88, 1, 2, 372076, 7209.36, 86, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 644,  6,  7,   88, 1, 2, 330624, 7209.36, 58, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 632,  9,  5,   88, 1, 2, 353059, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 344,  7,  6,   88, 1, 2, 330624, 7209.36, 232, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 579,  6,  8,   88, 1, 2, 372221, 7209.36, 6, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 597,  5,  9,   88, 1, 2, 352943, 7209.36, 86, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 316,  9,  5,   88, 1, 2, 353277, 7209.36, 2, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 599,  9,  5,   88, 1, 2, 353301, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 319,  5,  9,   88, 1, 2, 353180, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 602,  6,  8,   88, 1, 2, 371967, 7209.36, 204, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 334,  4, 11,   88, 1, 2, 346016, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 612,  6,  7,   88, 1, 2, 330624, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 615,  6,  8,   88, 1, 2, 372218, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 616,  5, 10,   88, 1, 2, 384450, 7209.36, 32, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 373,  9,  5,   88, 1, 2, 353200, 7209.36, 0, 0.00, 1: 58; 2: 15; 
