Seed 1656949570
ARCH 2|F_ID 1|LIMIT 4
before: 
2(500)
Melhor resultado nxn: Apoptosis_network,  40,  6,  8,   89, 1, 2, 371850, 7753.06, 32, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 194,  7,  6,   94, 1, 2, 330624, 7753.06, 59, 0.00, 1: 52; 2: 21; 
Apoptosis_network,   6,  5,  9,   94, 1, 2, 353222, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 830,  9,  5,   94, 1, 2, 353242, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 822,  6,  8,   94, 1, 2, 371927, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network,  77,  6,  7,   94, 1, 2, 330624, 7753.06, 85, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 782,  6,  8,   94, 1, 2, 371958, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 179,  6,  8,   94, 1, 2, 371625, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network,   0,  6,  8,   94, 1, 2, 371993, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network,  97,  6,  8,   94, 1, 2, 372135, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network,  29,  6,  8,   94, 1, 2, 371772, 7753.06, 85, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 174,  9,  5,   94, 1, 2, 353057, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network,  95,  5,  9,   94, 1, 2, 353148, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 158,  5, 10,   94, 1, 2, 384159, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 170,  4, 12,   94, 1, 2, 371865, 7753.06, 80, 0.00, 1: 52; 2: 21; 
Apoptosis_network,  13,  7,  6,   94, 1, 2, 330624, 7753.06, 127, 0.00, 1: 52; 2: 21; 
Apoptosis_network,  87,  6,  7,   94, 1, 2, 330624, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 160,  5, 10,   94, 1, 2, 384277, 7753.06, 5, 0.00, 1: 52; 2: 21; 
Apoptosis_network,  19,  6,  7,   94, 1, 2, 330624, 7753.06, 40, 0.00, 1: 52; 2: 21; 
