Seed 1656949570
ARCH 2|F_ID 1|LIMIT 6
before: 
05(206)
macrophave_activation, 713, 17, 19,  990, 1, 5, 2600106, 68883.01, 235, 0.00, 1: 202; 2: 218; 3: 58; 4: 37; 5: 6; 
macrophave_activation, 323, 19, 17,  990, 1, 5, 2600096, 68883.01, 0, 0.00, 1: 201; 2: 215; 3: 69; 4: 28; 5: 8; 
macrophave_activation, 511, 17, 19,  991, 1, 5, 2600106, 68883.01, 0, 0.00, 1: 199; 2: 214; 3: 73; 4: 30; 5: 5; 
macrophave_activation, 481, 17, 19,  991, 1, 5, 2600107, 68883.01, 0, 0.00, 1: 187; 2: 234; 3: 67; 4: 30; 5: 3; 
macrophave_activation, 954, 17, 20,  991, 1, 5, 2757768, 68883.01, 182, 0.00, 1: 206; 2: 214; 3: 57; 4: 34; 5: 10; 
macrophave_activation, 445, 18, 18,  991, 1, 5, 2616124, 68883.01, 86, 0.00, 1: 206; 2: 205; 3: 71; 4: 33; 5: 6; 
macrophave_activation, 397, 19, 17,  992, 1, 5, 2600103, 68883.01, 86, 0.00, 1: 196; 2: 221; 3: 68; 4: 30; 5: 6; 
macrophave_activation, 116, 21, 16,  992, 1, 5, 2696419, 68883.01, 0, 0.00, 1: 201; 2: 214; 3: 71; 4: 25; 5: 10; 
macrophave_activation, 956, 21, 16,  992, 1, 5, 2696450, 68883.01, 0, 0.00, 1: 206; 2: 203; 3: 75; 4: 30; 5: 7; 
macrophave_activation, 612, 21, 16,  992, 1, 5, 2696282, 68883.01, 0, 0.00, 1: 201; 2: 215; 3: 62; 4: 40; 5: 3; 
macrophave_activation, 682, 17, 19,  992, 1, 5, 2600088, 68883.01, 182, 0.00, 1: 205; 2: 210; 3: 66; 4: 31; 5: 9; 
macrophave_activation,  39, 18, 18,  992, 1, 5, 2616160, 68883.01, 0, 0.00, 1: 200; 2: 211; 3: 75; 4: 30; 5: 5; 
macrophave_activation, 695, 19, 17,  992, 1, 5, 2600105, 68883.01, 0, 0.00, 1: 206; 2: 207; 3: 67; 4: 34; 5: 7; 
macrophave_activation, 712, 16, 21,  993, 1, 5, 2696245, 68883.01, 0, 0.00, 1: 207; 2: 208; 3: 64; 4: 32; 5: 10; 
macrophave_activation, 219, 18, 18,  993, 1, 5, 2616134, 68883.01, 165, 0.00, 1: 196; 2: 219; 3: 68; 4: 35; 5: 3; 
macrophave_activation, 987, 17, 19,  993, 1, 5, 2600102, 68883.01, 165, 0.00, 1: 196; 2: 222; 3: 67; 4: 28; 5: 8; 
macrophave_activation, 537, 17, 19,  993, 1, 5, 2600119, 68883.01, 233, 0.00, 1: 200; 2: 212; 3: 75; 4: 26; 5: 8; 
macrophave_activation, 990, 17, 19,  994, 1, 5, 2600137, 68883.01, 0, 0.00, 1: 196; 2: 222; 3: 65; 4: 31; 5: 7; 
macrophave_activation, 781, 19, 17,  995, 1, 5, 2600104, 68883.01, 86, 0.00, 1: 190; 2: 229; 3: 67; 4: 29; 5: 6; 
macrophave_activation, 432, 15, 22,  995, 1, 5, 2658190, 68883.01, 3, 0.00, 1: 201; 2: 213; 3: 65; 4: 37; 5: 5; 
macrophave_activation, 942, 18, 18,  996, 1, 5, 2616192, 68883.01, 0, 0.00, 1: 198; 2: 216; 3: 69; 4: 31; 5: 7; 
macrophave_activation, 593, 12, 28,  996, 1, 5, 2696315, 68883.01, 0, 0.00, 1: 203; 2: 212; 3: 66; 4: 29; 5: 11; 
macrophave_activation, 733, 14, 24,  997, 1, 5, 2696125, 68883.01, 86, 0.00, 1: 191; 2: 226; 3: 69; 4: 28; 5: 7; 
macrophave_activation, 976, 15, 22,  997, 1, 5, 2658156, 68883.01, 82, 0.00, 1: 197; 2: 218; 3: 68; 4: 30; 5: 8; 
macrophave_activation, 244, 21, 16,  997, 1, 5, 2696131, 68883.01, 0, 0.00, 1: 198; 2: 219; 3: 61; 4: 37; 5: 6; 
macrophave_activation, 479, 18, 18,  997, 1, 5, 2616147, 68883.01, 0, 0.00, 1: 219; 2: 191; 3: 58; 4: 43; 5: 10; 
macrophave_activation, 794, 14, 24,  998, 1, 5, 2696197, 68883.01, 182, 0.00, 1: 204; 2: 212; 3: 63; 4: 29; 5: 13; 
macrophave_activation, 331, 17, 19,  998, 1, 5, 2600102, 68883.01, 165, 0.00, 1: 194; 2: 216; 3: 78; 4: 27; 5: 6; 
macrophave_activation, 951, 19, 17,  998, 1, 5, 2600111, 68883.01, 0, 0.00, 1: 213; 2: 192; 3: 72; 4: 35; 5: 9; 
macrophave_activation, 501, 19, 17,  998, 1, 5, 2600095, 68883.01, 0, 0.00, 1: 203; 2: 209; 3: 67; 4: 34; 5: 8; 
macrophave_activation, 862, 17, 20,  999, 1, 5, 2757789, 68883.01, 0, 0.00, 1: 201; 2: 206; 3: 76; 4: 32; 5: 6; 
macrophave_activation, 293, 18, 18,  999, 1, 5, 2616165, 68883.01, 0, 0.00, 1: 187; 2: 233; 3: 64; 4: 31; 5: 6; 
macrophave_activation, 225, 14, 23,  999, 1, 5, 2635731, 68883.01, 1, 0.00, 1: 194; 2: 217; 3: 73; 4: 33; 5: 4; 
macrophave_activation, 867, 14, 24,  999, 1, 5, 2696143, 68883.01, 0, 0.00, 1: 194; 2: 216; 3: 78; 4: 26; 5: 7; 
macrophave_activation,  44, 21, 16,  999, 1, 5, 2696345, 68883.01, 0, 0.00, 1: 206; 2: 203; 3: 67; 4: 39; 5: 6; 
macrophave_activation, 592, 19, 17, 1000, 1, 5, 2600110, 68883.01, 231, 0.00, 1: 192; 2: 226; 3: 62; 4: 35; 5: 6; 
macrophave_activation, 852, 17, 20, 1000, 1, 5, 2758011, 68883.01, 0, 0.00, 1: 199; 2: 219; 3: 61; 4: 30; 5: 12; 
macrophave_activation, 577, 17, 20, 1000, 1, 5, 2757867, 68883.01, 0, 0.00, 1: 197; 2: 214; 3: 70; 4: 35; 5: 5; 
macrophave_activation, 395, 18, 18, 1000, 1, 5, 2616144, 68883.01, 165, 0.00, 1: 200; 2: 222; 3: 50; 4: 39; 5: 10; 
macrophave_activation, 513, 17, 19, 1000, 1, 5, 2600086, 68883.01, 0, 0.00, 1: 186; 2: 234; 3: 68; 4: 23; 5: 10; 
macrophave_activation, 885, 18, 18, 1000, 1, 5, 2616129, 68883.01, 0, 0.00, 1: 195; 2: 217; 3: 74; 4: 26; 5: 9; 
macrophave_activation, 864, 19, 17, 1000, 1, 5, 2600068, 68883.01, 169, 0.00, 1: 201; 2: 217; 3: 58; 4: 34; 5: 11; 
macrophave_activation, 223, 19, 17, 1000, 1, 5, 2600105, 68883.01, 0, 0.00, 1: 197; 2: 214; 3: 70; 4: 35; 5: 5; 
macrophave_activation, 683, 16, 21, 1002, 1, 5, 2696182, 68883.01, 165, 0.00, 1: 185; 2: 232; 3: 71; 4: 25; 5: 8; 
macrophave_activation, 878, 14, 23, 1002, 1, 5, 2635731, 68883.01, 0, 0.00, 1: 196; 2: 218; 3: 67; 4: 31; 5: 9; 
macrophave_activation, 241, 16, 21, 1003, 1, 5, 2696451, 68883.01, 0, 0.00, 1: 205; 2: 204; 3: 70; 4: 30; 5: 12; 
macrophave_activation, 804, 18, 18, 1003, 1, 5, 2616169, 68883.01, 0, 0.00, 1: 206; 2: 201; 3: 70; 4: 35; 5: 9; 
macrophave_activation, 920, 17, 19, 1004, 1, 5, 2600097, 68883.01, 160, 0.00, 1: 202; 2: 208; 3: 67; 4: 35; 5: 9; 
macrophave_activation, 271, 19, 17, 1004, 1, 5, 2600107, 68883.01, 0, 0.00, 1: 195; 2: 217; 3: 69; 4: 32; 5: 8; 
macrophave_activation, 134, 18, 18, 1004, 1, 5, 2616138, 68883.01, 0, 0.00, 1: 194; 2: 225; 3: 58; 4: 34; 5: 10; 
macrophave_activation,  18, 21, 16, 1005, 1, 5, 2696423, 68883.01, 182, 0.00, 1: 190; 2: 228; 3: 64; 4: 28; 5: 11; 
macrophave_activation, 818, 19, 17, 1005, 1, 5, 2600065, 68883.01, 0, 0.00, 1: 196; 2: 214; 3: 71; 4: 32; 5: 8; 
macrophave_activation, 955, 14, 24, 1006, 1, 5, 2696269, 68883.01, 165, 0.00, 1: 200; 2: 216; 3: 56; 4: 39; 5: 10; 
macrophave_activation, 318, 21, 16, 1006, 1, 5, 2696446, 68883.01, 0, 0.00, 1: 198; 2: 216; 3: 62; 4: 35; 5: 10; 
macrophave_activation, 628, 21, 16, 1006, 1, 5, 2696414, 68883.01, 0, 0.00, 1: 191; 2: 221; 3: 68; 4: 36; 5: 5; 
macrophave_activation, 825, 19, 17, 1006, 1, 5, 2600063, 68883.01, 235, 0.00, 1: 194; 2: 212; 3: 78; 4: 31; 5: 6; 
macrophave_activation, 288, 17, 20, 1006, 1, 5, 2757850, 68883.01, 210, 0.00, 1: 197; 2: 218; 3: 63; 4: 31; 5: 12; 
macrophave_activation, 835, 16, 21, 1007, 1, 5, 2696498, 68883.01, 0, 0.00, 1: 201; 2: 205; 3: 74; 4: 31; 5: 10; 
macrophave_activation, 737, 18, 18, 1007, 1, 5, 2616092, 68883.01, 0, 0.00, 1: 194; 2: 213; 3: 76; 4: 31; 5: 7; 
macrophave_activation, 493, 17, 20, 1007, 1, 5, 2757952, 68883.01, 86, 0.00, 1: 198; 2: 210; 3: 68; 4: 40; 5: 5; 
