Seed 1656949570
ARCH 1|F_ID 1|LIMIT 6
before: 
35(214)
macrophave_activation, 994, 14, 24,  954, 1, 5, 2696224, 63487.21, 0, 0.00, 1: 230; 2: 187; 3: 72; 4: 26; 5: 6; 
macrophave_activation,  50, 15, 22,  955, 1, 5, 2658284, 63487.21, 0, 0.00, 1: 229; 2: 191; 3: 66; 4: 29; 5: 6; 
macrophave_activation, 856, 15, 22,  955, 1, 5, 2658248, 63487.21, 32, 0.00, 1: 227; 2: 195; 3: 65; 4: 27; 5: 7; 
macrophave_activation, 843, 14, 23,  956, 1, 5, 2635731, 63487.21, 138, 0.00, 1: 213; 2: 211; 3: 68; 4: 28; 5: 1; 
macrophave_activation, 830, 15, 22,  957, 1, 5, 2658093, 63487.21, 0, 0.00, 1: 227; 2: 189; 3: 72; 4: 29; 5: 4; 
macrophave_activation, 373, 21, 16,  957, 1, 5, 2696126, 63487.21, 0, 0.00, 1: 225; 2: 201; 3: 58; 4: 29; 5: 8; 
macrophave_activation, 905, 17, 20,  957, 1, 5, 2757864, 63487.21, 204, 0.00, 1: 222; 2: 198; 3: 68; 4: 30; 5: 3; 
macrophave_activation, 966, 17, 19,  957, 1, 5, 2600109, 63487.21, 0, 0.00, 1: 227; 2: 192; 3: 67; 4: 30; 5: 5; 
macrophave_activation,  46, 17, 19,  957, 1, 5, 2600108, 63487.21, 0, 0.00, 1: 218; 2: 203; 3: 70; 4: 27; 5: 3; 
macrophave_activation, 754, 13, 26,  958, 1, 5, 2727175, 63487.21, 0, 0.00, 1: 231; 2: 195; 3: 55; 4: 28; 5: 12; 
macrophave_activation, 991, 18, 18,  959, 1, 5, 2616156, 63487.21, 0, 0.00, 1: 234; 2: 185; 3: 58; 4: 39; 5: 5; 
macrophave_activation, 111, 13, 26,  959, 1, 5, 2727365, 63487.21, 0, 0.00, 1: 229; 2: 189; 3: 69; 4: 25; 5: 9; 
macrophave_activation, 794, 14, 24,  959, 1, 5, 2696321, 63487.21, 26, 0.00, 1: 235; 2: 184; 3: 60; 4: 34; 5: 8; 
macrophave_activation,  57, 14, 23,  959, 1, 5, 2635731, 63487.21, 197, 0.00, 1: 230; 2: 190; 3: 63; 4: 30; 5: 8; 
macrophave_activation, 688, 19, 17,  959, 1, 5, 2600106, 63487.21, 26, 0.00, 1: 214; 2: 217; 3: 53; 4: 33; 5: 4; 
macrophave_activation, 416, 21, 16,  960, 1, 5, 2696316, 63487.21, 68, 0.00, 1: 238; 2: 178; 3: 63; 4: 33; 5: 9; 
macrophave_activation, 823, 11, 31,  960, 1, 5, 2773662, 63487.21, 0, 0.00, 1: 237; 2: 185; 3: 57; 4: 28; 5: 14; 
macrophave_activation, 382, 17, 19,  960, 1, 5, 2600092, 63487.21, 0, 0.00, 1: 233; 2: 184; 3: 65; 4: 31; 5: 8; 
macrophave_activation,  19, 17, 20,  960, 1, 5, 2757944, 63487.21, 138, 0.00, 1: 222; 2: 206; 3: 55; 4: 29; 5: 9; 
macrophave_activation, 804, 18, 18,  961, 1, 5, 2616152, 63487.21, 0, 0.00, 1: 217; 2: 215; 3: 50; 4: 31; 5: 8; 
macrophave_activation, 468, 17, 20,  961, 1, 5, 2757953, 63487.21, 0, 0.00, 1: 228; 2: 193; 3: 63; 4: 27; 5: 10; 
macrophave_activation,  67, 14, 24,  962, 1, 5, 2696436, 63487.21, 0, 0.00, 1: 220; 2: 198; 3: 70; 4: 29; 5: 4; 
macrophave_activation, 439, 13, 26,  962, 1, 5, 2727122, 63487.21, 0, 0.00, 1: 220; 2: 204; 3: 62; 4: 27; 5: 8; 
macrophave_activation, 320, 17, 19,  962, 1, 5, 2600108, 63487.21, 28, 0.00, 1: 223; 2: 197; 3: 65; 4: 30; 5: 6; 
macrophave_activation, 775, 17, 19,  962, 1, 5, 2600108, 63487.21, 0, 0.00, 1: 218; 2: 203; 3: 67; 4: 28; 5: 5; 
macrophave_activation, 786, 13, 25,  963, 1, 5, 2632204, 63487.21, 0, 0.00, 1: 238; 2: 179; 3: 59; 4: 35; 5: 10; 
macrophave_activation, 710, 21, 16,  964, 1, 5, 2696507, 63487.21, 0, 0.00, 1: 238; 2: 181; 3: 56; 4: 34; 5: 12; 
macrophave_activation, 434, 17, 19,  964, 1, 5, 2600088, 63487.21, 0, 0.00, 1: 216; 2: 208; 3: 61; 4: 31; 5: 5; 
macrophave_activation, 938, 12, 27,  964, 1, 5, 2616149, 63487.21, 26, 0.00, 1: 226; 2: 192; 3: 67; 4: 27; 5: 9; 
macrophave_activation, 736, 16, 21,  964, 1, 5, 2696542, 63487.21, 245, 0.00, 1: 223; 2: 199; 3: 62; 4: 28; 5: 9; 
macrophave_activation,  23, 17, 20,  965, 1, 5, 2757913, 63487.21, 0, 0.00, 1: 219; 2: 199; 3: 70; 4: 27; 5: 6; 
macrophave_activation, 219, 18, 18,  967, 1, 5, 2616143, 63487.21, 138, 0.00, 1: 217; 2: 205; 3: 66; 4: 23; 5: 10; 
macrophave_activation, 110, 19, 17,  967, 1, 5, 2600098, 63487.21, 0, 0.00, 1: 215; 2: 216; 3: 52; 4: 26; 5: 12; 
macrophave_activation, 467, 18, 18,  967, 1, 5, 2616137, 63487.21, 0, 0.00, 1: 233; 2: 179; 3: 68; 4: 33; 5: 8; 
macrophave_activation, 374, 14, 24,  968, 1, 5, 2695990, 63487.21, 0, 0.00, 1: 220; 2: 202; 3: 61; 4: 29; 5: 9; 
macrophave_activation, 981, 12, 28,  968, 1, 5, 2696138, 63487.21, 0, 0.00, 1: 224; 2: 196; 3: 62; 4: 29; 5: 10; 
macrophave_activation, 462, 21, 16,  968, 1, 5, 2696316, 63487.21, 0, 0.00, 1: 213; 2: 206; 3: 70; 4: 27; 5: 5; 
macrophave_activation, 102, 21, 16,  968, 1, 5, 2696503, 63487.21, 0, 0.00, 1: 229; 2: 190; 3: 64; 4: 23; 5: 15; 
macrophave_activation,  27, 19, 17,  969, 1, 5, 2600093, 63487.21, 138, 0.00, 1: 228; 2: 186; 3: 64; 4: 38; 5: 5; 
macrophave_activation, 201, 19, 17,  969, 1, 5, 2600067, 63487.21, 199, 0.00, 1: 223; 2: 196; 3: 65; 4: 26; 5: 11; 
macrophave_activation, 885, 18, 18,  970, 1, 5, 2616148, 63487.21, 0, 0.00, 1: 213; 2: 209; 3: 61; 4: 34; 5: 4; 
macrophave_activation, 892, 15, 22,  970, 1, 5, 2658073, 63487.21, 172, 0.00, 1: 230; 2: 183; 3: 66; 4: 34; 5: 8; 
macrophave_activation, 759, 17, 19,  970, 1, 5, 2600109, 63487.21, 0, 0.00, 1: 211; 2: 209; 3: 66; 4: 32; 5: 3; 
macrophave_activation, 926, 13, 26,  971, 1, 5, 2727278, 63487.21, 0, 0.00, 1: 217; 2: 201; 3: 66; 4: 31; 5: 6; 
