Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
82(298)
Melhor resultado nxn: Yeast_Apoptosis, 315,  9,  9,  140, 1, 2, 639179, 14433.87, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 153, 10,  8,  144, 1, 2, 634181, 14433.87, 163, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 457,  6, 14,  144, 1, 2, 658878, 14433.87, 160, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis,  54,  7, 12,  144, 1, 2, 658852, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 425, 10,  8,  144, 1, 2, 633833, 14433.87, 65, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 805,  9,  9,  144, 1, 2, 639005, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 663,  9,  9,  144, 1, 2, 639276, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis,  24,  9,  9,  144, 1, 2, 639249, 14433.87, 208, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 310, 10,  8,  144, 1, 2, 634106, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 548,  7, 11,  144, 1, 2, 613225, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 560,  7, 11,  144, 1, 2, 613082, 14433.87, 32, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 490,  9,  9,  144, 1, 2, 639263, 14433.87, 73, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 978,  9,  9,  144, 1, 2, 639202, 14433.87, 163, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 559,  9,  9,  144, 1, 2, 638955, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 969, 11,  7,  144, 1, 2, 613182, 14433.87, 127, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 606,  7, 12,  144, 1, 2, 658628, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 175,  8, 10,  144, 1, 2, 634214, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 834,  6, 14,  144, 1, 2, 658431, 14433.87, 163, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 470,  8, 10,  144, 1, 2, 634218, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 298,  6, 13,  144, 1, 2, 619461, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 120,  7, 11,  144, 1, 2, 613158, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis,  15,  9,  9,  144, 1, 2, 639398, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 717,  7, 12,  144, 1, 2, 658886, 14433.87, 85, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 582,  7, 11,  144, 1, 2, 613346, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 291,  6, 13,  144, 1, 2, 619493, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 892,  7, 11,  144, 1, 2, 613090, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 186, 11,  7,  145, 1, 2, 613143, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 793,  6, 14,  145, 1, 2, 658842, 14433.87, 154, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 187,  6, 14,  145, 1, 2, 658592, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 554,  9,  9,  145, 1, 2, 639258, 14433.87, 65, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 959,  7, 11,  145, 1, 2, 613184, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 178,  7, 12,  145, 1, 2, 658348, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 830,  7, 11,  145, 1, 2, 613311, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 789,  9,  9,  145, 1, 2, 638993, 14433.87, 85, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 965,  7, 11,  145, 1, 2, 613194, 14433.87, 85, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 552,  9,  9,  145, 1, 2, 639143, 14433.87, 32, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 147,  9,  9,  145, 1, 2, 639183, 14433.87, 30, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 723,  6, 13,  145, 1, 2, 619589, 14433.87, 31, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 409,  7, 12,  145, 1, 2, 658698, 14433.87, 152, 0.00, 1: 79; 2: 33; 
