Seed 1656949570
ARCH 0|F_ID 1|LIMIT 4
before: 
184(634)
PC12_Cell_Differentiation, 360,  6, 12,  205, 1, 4, 566212, 15452.93, 32, 0.00, 1: 47; 2: 36; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 645,  8,  9,  205, 1, 4, 566154, 15452.93, 0, 0.00, 1: 45; 2: 38; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 868,  6, 11,  205, 1, 4, 525282, 15452.93, 0, 0.00, 1: 45; 2: 38; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 241,  8,  9,  205, 1, 4, 566223, 15452.93, 0, 0.00, 1: 46; 2: 37; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 745,  7, 10,  205, 1, 4, 554445, 15452.93, 69, 0.00, 1: 42; 2: 42; 3: 21; 4: 4; 
PC12_Cell_Differentiation,  96,  6, 12,  205, 1, 4, 566345, 15452.93, 5, 0.00, 1: 48; 2: 32; 3: 23; 4: 6; 
PC12_Cell_Differentiation, 239,  8,  9,  205, 1, 4, 566286, 15452.93, 0, 0.00, 1: 44; 2: 39; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 740,  8,  9,  205, 1, 4, 566234, 15452.93, 0, 0.00, 1: 48; 2: 31; 3: 25; 4: 5; 
PC12_Cell_Differentiation,  93, 10,  7,  205, 1, 4, 554408, 15452.93, 85, 0.00, 1: 44; 2: 39; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 524,  8,  8,  205, 1, 4, 508032, 15452.93, 226, 0.00, 1: 45; 2: 39; 3: 18; 4: 7; 
PC12_Cell_Differentiation, 302,  8,  9,  205, 1, 4, 566344, 15452.93, 0, 0.00, 1: 45; 2: 38; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 565,  6, 11,  205, 1, 4, 525282, 15452.93, 0, 0.00, 1: 44; 2: 37; 3: 25; 4: 3; 
PC12_Cell_Differentiation, 934,  6, 12,  205, 1, 4, 566245, 15452.93, 0, 0.00, 1: 47; 2: 35; 3: 20; 4: 7; 
PC12_Cell_Differentiation, 563,  8,  8,  205, 1, 4, 508032, 15452.93, 0, 0.00, 1: 45; 2: 40; 3: 16; 4: 8; 
PC12_Cell_Differentiation,  88, 10,  7,  205, 1, 4, 554426, 15452.93, 184, 0.00, 1: 46; 2: 34; 3: 25; 4: 4; 
PC12_Cell_Differentiation, 197,  6, 12,  205, 1, 4, 566177, 15452.93, 85, 0.00, 1: 48; 2: 32; 3: 23; 4: 6; 
PC12_Cell_Differentiation, 883, 10,  7,  205, 1, 4, 554407, 15452.93, 0, 0.00, 1: 45; 2: 37; 3: 22; 4: 5; 
PC12_Cell_Differentiation,  74,  6, 12,  205, 1, 4, 566266, 15452.93, 135, 0.00, 1: 44; 2: 41; 3: 17; 4: 7; 
PC12_Cell_Differentiation, 447,  7, 10,  205, 1, 4, 554342, 15452.93, 0, 0.00, 1: 41; 2: 43; 3: 22; 4: 3; 
PC12_Cell_Differentiation, 547,  8,  9,  205, 1, 4, 566197, 15452.93, 0, 0.00, 1: 43; 2: 40; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 123,  5, 13,  205, 1, 4, 515840, 15452.93, 0, 0.00, 1: 47; 2: 34; 3: 22; 4: 6; 
PC12_Cell_Differentiation,  32,  6, 11,  205, 1, 4, 525299, 15452.93, 5, 0.00, 1: 45; 2: 38; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 320,  8,  9,  205, 1, 4, 566274, 15452.93, 80, 0.00, 1: 41; 2: 43; 3: 22; 4: 3; 
PC12_Cell_Differentiation, 285, 10,  7,  205, 1, 4, 554384, 15452.93, 85, 0.00, 1: 43; 2: 41; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 591, 11,  6,  205, 1, 4, 525260, 15452.93, 0, 0.00, 1: 46; 2: 38; 3: 17; 4: 8; 
PC12_Cell_Differentiation,  67,  6, 12,  205, 1, 4, 566361, 15452.93, 28, 0.00, 1: 46; 2: 37; 3: 19; 4: 7; 
