Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
242(251)
Melhor resultado nxn: PC12_Cell_Differentiation, 229,  8,  8,  146, 1, 2, 508032, 15314.41, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation,  34,  6, 11,  148, 1, 2, 525298, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 821, 10,  7,  149, 1, 2, 554578, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 606, 10,  7,  149, 1, 2, 554226, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 499,  6, 12,  149, 1, 2, 566240, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 979,  5, 14,  149, 1, 2, 554500, 15314.41, 235, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation,  54,  8,  9,  149, 1, 2, 566326, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 849,  8,  9,  149, 1, 2, 566429, 15314.41, 80, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation,  72,  8,  9,  149, 1, 2, 566299, 15314.41, 176, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 316,  6, 11,  149, 1, 2, 525309, 15314.41, 2, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 348,  5, 14,  149, 1, 2, 554440, 15314.41, 176, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 167,  6, 11,  149, 1, 2, 525295, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 315,  6, 11,  149, 1, 2, 525302, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 943,  7, 10,  149, 1, 2, 554442, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 410,  6, 11,  149, 1, 2, 525325, 15314.41, 46, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 578,  7, 10,  149, 1, 2, 554093, 15314.41, 45, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 852,  8,  9,  149, 1, 2, 566042, 15314.41, 176, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 345,  7, 10,  149, 1, 2, 554152, 15314.41, 87, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 263, 11,  6,  149, 1, 2, 525282, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 372, 10,  7,  149, 1, 2, 554304, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation,  26,  7, 10,  149, 1, 2, 554074, 15314.41, 46, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 860,  7, 10,  149, 1, 2, 554184, 15314.41, 176, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 334,  8,  8,  149, 1, 2, 508032, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 423,  7, 10,  149, 1, 2, 554513, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 279,  8,  9,  149, 1, 2, 566263, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 618,  6, 12,  149, 1, 2, 565859, 15314.41, 65, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 230,  8,  9,  149, 1, 2, 566382, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 225,  5, 14,  149, 1, 2, 554499, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 301,  6, 11,  149, 1, 2, 525316, 15314.41, 32, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 232, 10,  7,  149, 1, 2, 554441, 15314.41, 32, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 917,  7, 10,  149, 1, 2, 554508, 15314.41, 85, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 713,  5, 13,  149, 1, 2, 515840, 15314.41, 159, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 711,  7, 10,  149, 1, 2, 554197, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 702,  6, 11,  149, 1, 2, 525317, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 916, 10,  7,  149, 1, 2, 554372, 15314.41, 176, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 378,  8,  9,  149, 1, 2, 566148, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 913,  7, 10,  149, 1, 2, 554662, 15314.41, 81, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 688,  8,  9,  149, 1, 2, 566262, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 476, 10,  7,  149, 1, 2, 554479, 15314.41, 176, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 207,  6, 12,  149, 1, 2, 566410, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 812,  7, 10,  149, 1, 2, 554455, 15314.41, 32, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 619,  8,  9,  149, 1, 2, 566122, 15314.41, 71, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 636,  6, 11,  149, 1, 2, 525274, 15314.41, 1, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 638,  5, 14,  149, 1, 2, 554357, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 100,  6, 11,  149, 1, 2, 525307, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 487,  6, 12,  149, 1, 2, 566201, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 407,  6, 12,  149, 1, 2, 566287, 15314.41, 0, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation,  96,  6, 12,  149, 1, 2, 566343, 15314.41, 5, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 237,  6, 11,  149, 1, 2, 525286, 15314.41, 32, 0.00, 1: 69; 2: 40; 
PC12_Cell_Differentiation, 892,  5, 14,  150, 1, 2, 554537, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 902,  5, 14,  150, 1, 2, 554374, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 528,  6, 11,  150, 1, 2, 525310, 15314.41, 128, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 464,  8,  9,  150, 1, 2, 566673, 15314.41, 208, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 494,  8,  8,  150, 1, 2, 508032, 15314.41, 0, 0.00, 1: 68; 2: 41; 
