Seed 1656949570
ARCH 0|F_ID 1|LIMIT 2
before: 
02(437)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway,  26,  6,  6,   47, 0, 2, 281790, 4512.16, 70, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 235,  6,  6,   51, 0, 2, 281811, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 130,  6,  6,   51, 0, 2, 281792, 4512.16, 70, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 576,  5,  8,   51, 0, 2, 308070, 4512.16, 80, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 471,  7,  5,   51, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 228,  5,  8,   51, 0, 2, 308091, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 723,  7,  5,   51, 0, 2, 274295, 4512.16, 136, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 722,  9,  4,   51, 0, 2, 281779, 4512.16, 70, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 828,  4, 10,   51, 0, 2, 308327, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway,  32,  4,  9,   51, 0, 2, 281800, 4512.16, 17, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 977,  4, 10,   52, 0, 2, 308260, 4512.16, 6, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 628,  4,  9,   52, 0, 2, 281784, 4512.16, 32, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 627,  4, 10,   52, 0, 2, 308311, 4512.16, 108, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 960,  9,  4,   52, 0, 2, 281747, 4512.16, 208, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 534,  6,  6,   52, 0, 2, 281764, 4512.16, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 577,  4,  9,   52, 0, 2, 281827, 4512.16, 5, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 630,  9,  4,   52, 0, 2, 281821, 4512.16, 1, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 242,  9,  4,   52, 0, 2, 281836, 4512.16, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 612,  5,  8,   52, 0, 2, 308242, 4512.16, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 158,  5,  8,   52, 0, 2, 308410, 4512.16, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 555,  4, 10,   52, 0, 2, 308245, 4512.16, 112, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 251,  4,  9,   52, 0, 2, 281827, 4512.16, 0, 0.00, 0: 2; 1: 30; 2: 11; 
