Seed 1656949570
ARCH 2|F_ID 1|LIMIT 2
before: 
192(976)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 934,  6,  6,   45, 1, 2, 281825, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 389,  9,  4,   47, 1, 2, 281746, 4783.71, 0, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 371,  5,  7,   47, 1, 2, 274295, 4783.71, 108, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 372,  6,  6,   47, 1, 2, 281777, 4783.71, 32, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 378,  4,  9,   47, 1, 2, 281858, 4783.71, 0, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 380,  7,  5,   47, 1, 2, 274295, 4783.71, 2, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 382,  4,  9,   47, 1, 2, 281826, 4783.71, 0, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 538,  4,  9,   47, 1, 2, 281782, 4783.71, 43, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 540,  5,  7,   47, 1, 2, 274295, 4783.71, 74, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 548,  4,  9,   47, 1, 2, 281785, 4783.71, 0, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 542,  9,  4,   47, 1, 2, 281719, 4783.71, 0, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 385,  5,  8,   47, 1, 2, 308093, 4783.71, 0, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 404,  5,  8,   47, 1, 2, 307993, 4783.71, 0, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 384,  7,  5,   47, 1, 2, 274295, 4783.71, 0, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 453,  4,  9,   47, 1, 2, 281804, 4783.71, 86, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 357,  4, 10,   47, 1, 2, 308147, 4783.71, 0, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 340,  4,  9,   47, 1, 2, 281768, 4783.71, 74, 0.00, 1: 39; 2: 4; 
