Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
04(988)
Melhor resultado nxn: Yeast_Apoptosis, 174,  9,  9,  189, 1, 4, 639234, 19894.78, 0, 0.00, 1: 58; 2: 34; 3: 17; 4: 3; 
Yeast_Apoptosis, 584,  8, 10,  198, 1, 4, 633987, 19894.78, 0, 0.00, 1: 53; 2: 37; 3: 17; 4: 5; 
Yeast_Apoptosis, 673,  8, 10,  198, 1, 4, 634031, 19894.78, 0, 0.00, 1: 55; 2: 37; 3: 11; 4: 9; 
Yeast_Apoptosis, 147,  9,  9,  198, 1, 4, 639181, 19894.78, 21, 0.00, 1: 59; 2: 29; 3: 15; 4: 9; 
Yeast_Apoptosis, 129,  8, 10,  198, 1, 4, 634139, 19894.78, 22, 0.00, 1: 58; 2: 30; 3: 16; 4: 8; 
Yeast_Apoptosis, 906,  9,  9,  198, 1, 4, 639181, 19894.78, 101, 0.00, 1: 55; 2: 34; 3: 17; 4: 6; 
Yeast_Apoptosis, 745,  7, 11,  199, 1, 4, 613320, 19894.78, 67, 0.00, 1: 59; 2: 29; 3: 14; 4: 10; 
Yeast_Apoptosis, 596,  8, 10,  199, 1, 4, 634076, 19894.78, 49, 0.00, 1: 55; 2: 35; 3: 14; 4: 8; 
Yeast_Apoptosis, 390,  9,  9,  199, 1, 4, 639134, 19894.78, 0, 0.00, 1: 55; 2: 34; 3: 16; 4: 7; 
Yeast_Apoptosis, 805,  9,  9,  199, 1, 4, 639248, 19894.78, 0, 0.00, 1: 59; 2: 27; 3: 18; 4: 8; 
Yeast_Apoptosis, 987, 10,  8,  199, 1, 4, 634041, 19894.78, 22, 0.00, 1: 56; 2: 31; 3: 19; 4: 6; 
Yeast_Apoptosis, 465, 11,  7,  199, 1, 4, 613214, 19894.78, 16, 0.00, 1: 57; 2: 32; 3: 14; 4: 9; 
Yeast_Apoptosis, 657,  9,  9,  199, 1, 4, 639224, 19894.78, 240, 0.00, 1: 57; 2: 29; 3: 20; 4: 6; 
Yeast_Apoptosis, 290, 10,  8,  199, 1, 4, 634150, 19894.78, 0, 0.00, 1: 56; 2: 33; 3: 15; 4: 8; 
Yeast_Apoptosis,   9,  7, 11,  199, 1, 4, 613169, 19894.78, 18, 0.00, 1: 52; 2: 37; 3: 19; 4: 4; 
Yeast_Apoptosis, 350,  8, 10,  199, 1, 4, 634103, 19894.78, 0, 0.00, 1: 57; 2: 30; 3: 18; 4: 7; 
Yeast_Apoptosis, 541, 10,  8,  199, 1, 4, 633950, 19894.78, 86, 0.00, 1: 57; 2: 32; 3: 14; 4: 9; 
Yeast_Apoptosis,  49,  8, 10,  199, 1, 4, 634047, 19894.78, 0, 0.00, 1: 58; 2: 29; 3: 17; 4: 8; 
Yeast_Apoptosis, 903,  7, 12,  199, 1, 4, 658842, 19894.78, 0, 0.00, 1: 53; 2: 37; 3: 16; 4: 6; 
Yeast_Apoptosis, 868,  8, 10,  199, 1, 4, 634035, 19894.78, 0, 0.00, 1: 56; 2: 30; 3: 21; 4: 5; 
Yeast_Apoptosis, 437,  8, 10,  199, 1, 4, 634130, 19894.78, 0, 0.00, 1: 59; 2: 26; 3: 20; 4: 7; 
Yeast_Apoptosis, 347, 10,  8,  199, 1, 4, 634055, 19894.78, 22, 0.00, 1: 59; 2: 26; 3: 20; 4: 7; 
