Seed 1656949570
ARCH 2|F_ID 3|LIMIT 6
before: 
04(434)
signal_transduction_in_fibroblasts, 244, 10, 15, 1113, 1, 4, 1200933, 192691.28, 11, 0.00, 1: 163; 2: 227; 3: 128; 4: 28; 
signal_transduction_in_fibroblasts, 311, 10, 15, 1113, 1, 4, 1201090, 192691.28, 0, 0.00, 1: 159; 2: 230; 3: 134; 4: 23; 
signal_transduction_in_fibroblasts, 906, 10, 15, 1113, 1, 4, 1200891, 192691.28, 0, 0.00, 1: 164; 2: 226; 3: 127; 4: 29; 
signal_transduction_in_fibroblasts, 638,  9, 16, 1113, 1, 4, 1151980, 192691.28, 0, 0.00, 1: 162; 2: 225; 3: 135; 4: 24; 
signal_transduction_in_fibroblasts, 108, 11, 13, 1113, 1, 4, 1146592, 192691.28, 81, 0.00, 1: 168; 2: 216; 3: 135; 4: 27; 
signal_transduction_in_fibroblasts, 536,  9, 17, 1113, 1, 4, 1222919, 192691.28, 17, 0.00, 1: 162; 2: 234; 3: 117; 4: 33; 
signal_transduction_in_fibroblasts, 515, 10, 15, 1113, 1, 4, 1200964, 192691.28, 0, 0.00, 1: 158; 2: 234; 3: 129; 4: 25; 
signal_transduction_in_fibroblasts, 866, 13, 11, 1113, 1, 4, 1146640, 192691.28, 0, 0.00, 1: 165; 2: 224; 3: 128; 4: 29; 
signal_transduction_in_fibroblasts, 236, 10, 15, 1113, 1, 4, 1200874, 192691.28, 135, 0.00, 1: 171; 2: 209; 3: 140; 4: 26; 
signal_transduction_in_fibroblasts, 966, 11, 13, 1113, 1, 4, 1146631, 192691.28, 0, 0.00, 1: 160; 2: 229; 3: 133; 4: 24; 
signal_transduction_in_fibroblasts, 977, 10, 14, 1113, 1, 4, 1128680, 192691.28, 0, 0.00, 1: 172; 2: 211; 3: 133; 4: 30; 
signal_transduction_in_fibroblasts, 967,  9, 17, 1113, 1, 4, 1223031, 192691.28, 0, 0.00, 1: 176; 2: 201; 3: 141; 4: 28; 
signal_transduction_in_fibroblasts, 774, 11, 13, 1114, 1, 4, 1146606, 192691.28, 0, 0.00, 1: 156; 2: 236; 3: 130; 4: 24; 
signal_transduction_in_fibroblasts, 361, 14, 10, 1114, 1, 4, 1128680, 192691.28, 0, 0.00, 1: 176; 2: 202; 3: 138; 4: 30; 
signal_transduction_in_fibroblasts, 614, 13, 11, 1114, 1, 4, 1146601, 192691.28, 0, 0.00, 1: 166; 2: 217; 3: 138; 4: 25; 
signal_transduction_in_fibroblasts, 542, 10, 15, 1114, 1, 4, 1200998, 192691.28, 0, 0.00, 1: 164; 2: 222; 3: 134; 4: 26; 
signal_transduction_in_fibroblasts,  90, 12, 12, 1114, 1, 4, 1151951, 192691.28, 0, 0.00, 1: 169; 2: 219; 3: 125; 4: 33; 
signal_transduction_in_fibroblasts, 334,  9, 17, 1115, 1, 4, 1222769, 192691.28, 0, 0.00, 1: 162; 2: 222; 3: 139; 4: 23; 
signal_transduction_in_fibroblasts, 556, 14, 10, 1115, 1, 4, 1128680, 192691.28, 112, 0.00, 1: 163; 2: 223; 3: 134; 4: 26; 
signal_transduction_in_fibroblasts, 608, 11, 13, 1115, 1, 4, 1146649, 192691.28, 21, 0.00, 1: 157; 2: 233; 3: 132; 4: 24; 
signal_transduction_in_fibroblasts, 138, 12, 12, 1115, 1, 4, 1152076, 192691.28, 0, 0.00, 1: 159; 2: 230; 3: 132; 4: 25; 
signal_transduction_in_fibroblasts,  42, 13, 11, 1115, 1, 4, 1146625, 192691.28, 0, 0.00, 1: 171; 2: 207; 3: 142; 4: 26; 
signal_transduction_in_fibroblasts, 672, 13, 11, 1115, 1, 4, 1146619, 192691.28, 24, 0.00, 1: 162; 2: 220; 3: 143; 4: 21; 
signal_transduction_in_fibroblasts, 627, 12, 12, 1115, 1, 4, 1152046, 192691.28, 0, 0.00, 1: 171; 2: 204; 3: 148; 4: 23; 
signal_transduction_in_fibroblasts, 595, 12, 12, 1116, 1, 4, 1151987, 192691.28, 0, 0.00, 1: 169; 2: 213; 3: 135; 4: 29; 
signal_transduction_in_fibroblasts, 248, 11, 13, 1116, 1, 4, 1146611, 192691.28, 10, 0.00, 1: 163; 2: 222; 3: 135; 4: 26; 
signal_transduction_in_fibroblasts, 495, 13, 11, 1116, 1, 4, 1146584, 192691.28, 0, 0.00, 1: 155; 2: 228; 3: 147; 4: 16; 
signal_transduction_in_fibroblasts, 964, 11, 13, 1116, 1, 4, 1146587, 192691.28, 88, 0.00, 1: 153; 2: 235; 3: 139; 4: 19; 
signal_transduction_in_fibroblasts, 747, 13, 11, 1116, 1, 4, 1146700, 192691.28, 0, 0.00, 1: 168; 2: 208; 3: 148; 4: 22; 
signal_transduction_in_fibroblasts, 587, 12, 12, 1116, 1, 4, 1152015, 192691.28, 0, 0.00, 1: 151; 2: 238; 3: 139; 4: 18; 
signal_transduction_in_fibroblasts, 505, 13, 11, 1116, 1, 4, 1146468, 192691.28, 0, 0.00, 1: 160; 2: 228; 3: 132; 4: 26; 
signal_transduction_in_fibroblasts, 736, 12, 12, 1116, 1, 4, 1152067, 192691.28, 24, 0.00, 1: 164; 2: 217; 3: 142; 4: 23; 
signal_transduction_in_fibroblasts, 821,  9, 17, 1116, 1, 4, 1223026, 192691.28, 0, 0.00, 1: 159; 2: 232; 3: 127; 4: 28; 
signal_transduction_in_fibroblasts, 416, 12, 12, 1116, 1, 4, 1151993, 192691.28, 14, 0.00, 1: 164; 2: 213; 3: 150; 4: 19; 
signal_transduction_in_fibroblasts, 676,  9, 16, 1116, 1, 4, 1152087, 192691.28, 135, 0.00, 1: 164; 2: 226; 3: 124; 4: 32; 
signal_transduction_in_fibroblasts, 577,  9, 17, 1116, 1, 4, 1222808, 192691.28, 0, 0.00, 1: 176; 2: 203; 3: 134; 4: 33; 
signal_transduction_in_fibroblasts, 829, 14, 10, 1116, 1, 4, 1128680, 192691.28, 0, 0.00, 1: 163; 2: 222; 3: 135; 4: 26; 
signal_transduction_in_fibroblasts, 469, 13, 11, 1116, 1, 4, 1146613, 192691.28, 0, 0.00, 1: 162; 2: 221; 3: 140; 4: 23; 
signal_transduction_in_fibroblasts, 793, 13, 11, 1117, 1, 4, 1146629, 192691.28, 0, 0.00, 1: 161; 2: 225; 3: 134; 4: 26; 
signal_transduction_in_fibroblasts, 207, 13, 11, 1117, 1, 4, 1146534, 192691.28, 0, 0.00, 1: 164; 2: 216; 3: 143; 4: 23; 
signal_transduction_in_fibroblasts,  83,  9, 16, 1117, 1, 4, 1152051, 192691.28, 0, 0.00, 1: 159; 2: 226; 3: 138; 4: 23; 
signal_transduction_in_fibroblasts, 165,  9, 17, 1117, 1, 4, 1222756, 192691.28, 0, 0.00, 1: 166; 2: 216; 3: 137; 4: 27; 
signal_transduction_in_fibroblasts, 764, 12, 12, 1117, 1, 4, 1151966, 192691.28, 51, 0.00, 1: 154; 2: 233; 3: 139; 4: 20; 
signal_transduction_in_fibroblasts,  43, 13, 11, 1117, 1, 4, 1146586, 192691.28, 0, 0.00, 1: 167; 2: 216; 3: 134; 4: 29; 
signal_transduction_in_fibroblasts, 899,  9, 16, 1117, 1, 4, 1152009, 192691.28, 0, 0.00, 1: 172; 2: 202; 3: 147; 4: 25; 
signal_transduction_in_fibroblasts, 744, 10, 14, 1117, 1, 4, 1128680, 192691.28, 24, 0.00, 1: 157; 2: 231; 3: 134; 4: 24; 
signal_transduction_in_fibroblasts, 648, 14, 10, 1117, 1, 4, 1128680, 192691.28, 23, 0.00, 1: 165; 2: 223; 3: 126; 4: 32; 
signal_transduction_in_fibroblasts, 948, 11, 13, 1117, 1, 4, 1146688, 192691.28, 27, 0.00, 1: 164; 2: 224; 3: 127; 4: 31; 
signal_transduction_in_fibroblasts, 847,  9, 17, 1117, 1, 4, 1222883, 192691.28, 0, 0.00, 1: 156; 2: 235; 3: 129; 4: 26; 
signal_transduction_in_fibroblasts, 569, 13, 11, 1117, 1, 4, 1146623, 192691.28, 0, 0.00, 1: 163; 2: 220; 3: 138; 4: 25; 
signal_transduction_in_fibroblasts, 131, 12, 12, 1117, 1, 4, 1151942, 192691.28, 0, 0.00, 1: 165; 2: 213; 3: 146; 4: 22; 
signal_transduction_in_fibroblasts, 636, 11, 13, 1118, 1, 4, 1146676, 192691.28, 46, 0.00, 1: 157; 2: 228; 3: 139; 4: 22; 
signal_transduction_in_fibroblasts, 920,  9, 16, 1118, 1, 4, 1152058, 192691.28, 27, 0.00, 1: 156; 2: 231; 3: 136; 4: 23; 
signal_transduction_in_fibroblasts,  97,  9, 16, 1118, 1, 4, 1151983, 192691.28, 0, 0.00, 1: 156; 2: 232; 3: 134; 4: 24; 
signal_transduction_in_fibroblasts, 359, 10, 15, 1118, 1, 4, 1200711, 192691.28, 0, 0.00, 1: 158; 2: 232; 3: 128; 4: 28; 
signal_transduction_in_fibroblasts, 425, 10, 15, 1118, 1, 4, 1200942, 192691.28, 0, 0.00, 1: 170; 2: 209; 3: 138; 4: 29; 
signal_transduction_in_fibroblasts, 154,  9, 16, 1118, 1, 4, 1152042, 192691.28, 0, 0.00, 1: 169; 2: 208; 3: 143; 4: 26; 
