Seed 1656949570
ARCH 1|F_ID 3|LIMIT 6
before: 
14(597)
signal_transduction_in_fibroblasts, 747, 13, 11, 1060, 1, 4, 1146611, 188401.53, 0, 0.00, 1: 188; 2: 219; 3: 122; 4: 17; 
signal_transduction_in_fibroblasts, 568, 13, 11, 1060, 1, 4, 1146658, 188401.53, 19, 0.00, 1: 188; 2: 222; 3: 116; 4: 20; 
signal_transduction_in_fibroblasts,  19, 14, 10, 1060, 1, 4, 1128680, 188401.53, 245, 0.00, 1: 184; 2: 229; 3: 114; 4: 19; 
signal_transduction_in_fibroblasts, 819, 13, 11, 1060, 1, 4, 1146612, 188401.53, 0, 0.00, 1: 188; 2: 222; 3: 116; 4: 20; 
signal_transduction_in_fibroblasts, 251, 13, 11, 1061, 1, 4, 1146623, 188401.53, 0, 0.00, 1: 190; 2: 213; 3: 127; 4: 16; 
signal_transduction_in_fibroblasts, 805, 11, 13, 1061, 1, 4, 1146567, 188401.53, 0, 0.00, 1: 196; 2: 208; 3: 119; 4: 23; 
signal_transduction_in_fibroblasts, 128,  9, 17, 1061, 1, 4, 1222701, 188401.53, 6, 0.00, 1: 204; 2: 192; 3: 127; 4: 23; 
signal_transduction_in_fibroblasts, 324, 13, 11, 1061, 1, 4, 1146585, 188401.53, 12, 0.00, 1: 194; 2: 207; 3: 127; 4: 18; 
signal_transduction_in_fibroblasts, 894, 10, 14, 1061, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 185; 2: 228; 3: 112; 4: 21; 
signal_transduction_in_fibroblasts, 832, 13, 11, 1061, 1, 4, 1146593, 188401.53, 26, 0.00, 1: 188; 2: 219; 3: 121; 4: 18; 
signal_transduction_in_fibroblasts, 982, 12, 12, 1061, 1, 4, 1152078, 188401.53, 0, 0.00, 1: 192; 2: 213; 3: 121; 4: 20; 
signal_transduction_in_fibroblasts, 441, 14, 10, 1061, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 185; 2: 229; 3: 110; 4: 22; 
signal_transduction_in_fibroblasts, 779, 12, 12, 1061, 1, 4, 1152036, 188401.53, 0, 0.00, 1: 192; 2: 215; 3: 117; 4: 22; 
signal_transduction_in_fibroblasts, 945, 13, 11, 1061, 1, 4, 1146584, 188401.53, 0, 0.00, 1: 188; 2: 217; 3: 125; 4: 16; 
signal_transduction_in_fibroblasts, 236, 10, 15, 1061, 1, 4, 1201006, 188401.53, 135, 0.00, 1: 196; 2: 204; 3: 127; 4: 19; 
signal_transduction_in_fibroblasts, 787, 10, 14, 1061, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 188; 2: 219; 3: 121; 4: 18; 
signal_transduction_in_fibroblasts, 918, 13, 11, 1061, 1, 4, 1146586, 188401.53, 0, 0.00, 1: 189; 2: 226; 3: 104; 4: 27; 
signal_transduction_in_fibroblasts, 434, 11, 13, 1061, 1, 4, 1146588, 188401.53, 0, 0.00, 1: 185; 2: 221; 3: 126; 4: 14; 
signal_transduction_in_fibroblasts, 358, 10, 14, 1061, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 190; 2: 216; 3: 121; 4: 19; 
signal_transduction_in_fibroblasts, 867,  9, 16, 1061, 1, 4, 1151970, 188401.53, 0, 0.00, 1: 195; 2: 202; 3: 134; 4: 15; 
signal_transduction_in_fibroblasts, 595, 12, 12, 1062, 1, 4, 1151890, 188401.53, 0, 0.00, 1: 187; 2: 222; 3: 117; 4: 20; 
signal_transduction_in_fibroblasts, 370, 12, 12, 1062, 1, 4, 1152032, 188401.53, 0, 0.00, 1: 200; 2: 197; 3: 128; 4: 21; 
signal_transduction_in_fibroblasts, 235, 10, 15, 1062, 1, 4, 1200871, 188401.53, 0, 0.00, 1: 193; 2: 206; 3: 131; 4: 16; 
signal_transduction_in_fibroblasts, 626, 10, 15, 1062, 1, 4, 1201070, 188401.53, 0, 0.00, 1: 187; 2: 220; 3: 121; 4: 18; 
signal_transduction_in_fibroblasts, 484, 14, 10, 1062, 1, 4, 1128680, 188401.53, 65, 0.00, 1: 203; 2: 195; 3: 123; 4: 25; 
signal_transduction_in_fibroblasts, 217, 13, 11, 1062, 1, 4, 1146642, 188401.53, 0, 0.00, 1: 191; 2: 212; 3: 125; 4: 18; 
