Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
24(811)
IGVH_mutations_in_chronic_lymphocytic_leukemia, 427, 11,  9,  243, 0, 4, 786099, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 28; 3: 21; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 551, 10, 10,  243, 0, 4, 796040, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 32; 3: 16; 4: 18; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 542,  8, 12,  243, 0, 4, 764416, 25006.03, 0, 0.00, 0: 25; 1: 58; 2: 35; 3: 13; 4: 19; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 533, 10, 10,  243, 0, 4, 795975, 25006.03, 0, 0.00, 0: 25; 1: 58; 2: 32; 3: 19; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 523,  8, 12,  243, 0, 4, 764463, 25006.03, 0, 0.00, 0: 25; 1: 56; 2: 35; 3: 19; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 505,  8, 12,  243, 0, 4, 764338, 25006.03, 0, 0.00, 0: 25; 1: 62; 2: 25; 3: 21; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 504,  8, 12,  243, 0, 4, 764380, 25006.03, 46, 0.00, 0: 25; 1: 58; 2: 29; 3: 25; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 495, 12,  8,  243, 0, 4, 764373, 25006.03, 0, 0.00, 0: 25; 1: 57; 2: 31; 3: 24; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 463,  9, 11,  243, 0, 4, 786133, 25006.03, 0, 0.00, 0: 25; 1: 58; 2: 31; 3: 21; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 440, 12,  8,  243, 0, 4, 764401, 25006.03, 41, 0.00, 0: 25; 1: 62; 2: 27; 3: 17; 4: 19; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  21, 12,  8,  243, 0, 4, 764374, 25006.03, 85, 0.00, 0: 25; 1: 58; 2: 32; 3: 19; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  34, 11,  9,  243, 0, 4, 786030, 25006.03, 0, 0.00, 0: 25; 1: 58; 2: 29; 3: 25; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  75,  9, 11,  243, 0, 4, 786051, 25006.03, 0, 0.00, 0: 25; 1: 58; 2: 33; 3: 17; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 959, 12,  8,  243, 0, 4, 764375, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 28; 3: 24; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  29, 10, 10,  243, 0, 4, 795869, 25006.03, 85, 0.00, 0: 25; 1: 53; 2: 39; 3: 20; 4: 13; 
