Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
43(480)
Melhor resultado nxn: Yeast_Apoptosis, 836,  9,  9,  145, 1, 3, 639081, 17070.56, 75, 0.00, 1: 81; 2: 29; 3: 2; 
Yeast_Apoptosis, 369, 10,  8,  150, 1, 3, 634027, 17070.56, 105, 0.00, 1: 81; 2: 24; 3: 7; 
Yeast_Apoptosis, 648,  9,  9,  150, 1, 3, 638026, 17070.56, 144, 0.00, 1: 78; 2: 30; 3: 4; 
Yeast_Apoptosis, 738,  7, 11,  150, 1, 3, 613392, 17070.56, 0, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 737, 10,  8,  150, 1, 3, 633035, 17070.56, 0, 0.00, 1: 76; 2: 34; 3: 2; 
Yeast_Apoptosis, 914, 10,  8,  150, 1, 3, 634043, 17070.56, 64, 0.00, 1: 75; 2: 36; 3: 1; 
Yeast_Apoptosis, 991,  7, 11,  150, 1, 3, 613344, 17070.56, 0, 0.00, 1: 80; 2: 26; 3: 6; 
Yeast_Apoptosis, 641,  8, 10,  150, 1, 3, 634287, 17070.56, 128, 0.00, 1: 80; 2: 26; 3: 6; 
Yeast_Apoptosis, 636,  6, 14,  150, 1, 3, 659120, 17070.56, 1, 0.00, 1: 79; 2: 28; 3: 5; 
Yeast_Apoptosis, 189,  8, 10,  150, 1, 3, 633814, 17070.56, 0, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 708,  6, 14,  150, 1, 3, 659131, 17070.56, 75, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 809,  6, 13,  150, 1, 3, 619648, 17070.56, 67, 0.00, 1: 76; 2: 34; 3: 2; 
Yeast_Apoptosis, 276, 10,  8,  150, 1, 3, 634040, 17070.56, 75, 0.00, 1: 80; 2: 26; 3: 6; 
Yeast_Apoptosis, 273,  7, 12,  150, 1, 3, 658786, 17070.56, 248, 0.00, 1: 78; 2: 30; 3: 4; 
Yeast_Apoptosis,  77,  9,  9,  150, 1, 3, 639142, 17070.56, 86, 0.00, 1: 78; 2: 30; 3: 4; 
Yeast_Apoptosis, 695,  8, 10,  150, 1, 3, 634087, 17070.56, 0, 0.00, 1: 79; 2: 28; 3: 5; 
Yeast_Apoptosis, 694,  7, 12,  150, 1, 3, 659476, 17070.56, 0, 0.00, 1: 78; 2: 30; 3: 4; 
Yeast_Apoptosis, 929,  9,  9,  150, 1, 3, 639322, 17070.56, 0, 0.00, 1: 81; 2: 24; 3: 7; 
Yeast_Apoptosis, 824, 10,  8,  150, 1, 3, 634353, 17070.56, 0, 0.00, 1: 78; 2: 30; 3: 4; 
Yeast_Apoptosis, 690,  6, 14,  150, 1, 3, 658599, 17070.56, 0, 0.00, 1: 79; 2: 28; 3: 5; 
Yeast_Apoptosis, 208, 10,  8,  150, 1, 3, 634023, 17070.56, 80, 0.00, 1: 79; 2: 28; 3: 5; 
Yeast_Apoptosis, 311,  9,  9,  150, 1, 3, 639463, 17070.56, 0, 0.00, 1: 78; 2: 30; 3: 4; 
Yeast_Apoptosis,  90,  7, 12,  150, 1, 3, 657436, 17070.56, 64, 0.00, 1: 81; 2: 24; 3: 7; 
Yeast_Apoptosis, 797, 10,  8,  150, 1, 3, 634183, 17070.56, 86, 0.00, 1: 80; 2: 26; 3: 6; 
Yeast_Apoptosis, 932, 10,  8,  150, 1, 3, 634337, 17070.56, 0, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 680,  6, 14,  150, 1, 3, 658942, 17070.56, 32, 0.00, 1: 76; 2: 34; 3: 2; 
Yeast_Apoptosis, 237,  7, 12,  150, 1, 3, 657644, 17070.56, 105, 0.00, 1: 76; 2: 34; 3: 2; 
Yeast_Apoptosis, 882,  7, 11,  150, 1, 3, 613179, 17070.56, 0, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 109,  8, 10,  150, 1, 3, 634132, 17070.56, 45, 0.00, 1: 79; 2: 28; 3: 5; 
Yeast_Apoptosis, 425, 10,  8,  150, 1, 3, 633683, 17070.56, 65, 0.00, 1: 79; 2: 28; 3: 5; 
Yeast_Apoptosis, 429,  8, 10,  150, 1, 3, 633894, 17070.56, 116, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 954,  8, 10,  150, 1, 3, 634093, 17070.56, 0, 0.00, 1: 78; 2: 30; 3: 4; 
Yeast_Apoptosis, 762,  6, 13,  150, 1, 3, 618822, 17070.56, 0, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 567,  7, 11,  150, 1, 3, 613254, 17070.56, 0, 0.00, 1: 80; 2: 26; 3: 6; 
Yeast_Apoptosis, 566,  7, 11,  150, 1, 3, 613093, 17070.56, 0, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 867,  7, 11,  150, 1, 3, 613305, 17070.56, 0, 0.00, 1: 76; 2: 34; 3: 2; 
Yeast_Apoptosis, 627,  8, 10,  150, 1, 3, 634289, 17070.56, 0, 0.00, 1: 78; 2: 30; 3: 4; 
Yeast_Apoptosis, 505, 10,  8,  150, 1, 3, 634539, 17070.56, 0, 0.00, 1: 77; 2: 32; 3: 3; 
