Seed 1656949570
ARCH 2|F_ID 2|LIMIT 2
before: 
102(1000)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 651,  6,  6,   45, 1, 2, 281803, 6375.60, 249, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 585,  4, 10,   46, 1, 2, 308297, 6375.60, 133, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 500,  4, 10,   46, 1, 2, 308200, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 578,  9,  4,   46, 1, 2, 281811, 6375.60, 34, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 633,  4, 10,   46, 1, 2, 308204, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 567,  7,  5,   46, 1, 2, 274295, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 563,  9,  4,   46, 1, 2, 281929, 6375.60, 32, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 559,  4, 10,   46, 1, 2, 308316, 6375.60, 103, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 545,  4, 10,   46, 1, 2, 308664, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 535,  7,  5,   46, 1, 2, 274295, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 533,  4, 10,   46, 1, 2, 308264, 6375.60, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 530,  4, 10,   46, 1, 2, 308225, 6375.60, 34, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 734,  6,  6,   46, 1, 2, 281767, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 786,  4, 10,   46, 1, 2, 308386, 6375.60, 34, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 785,  4, 10,   46, 1, 2, 308375, 6375.60, 134, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 779,  4, 10,   46, 1, 2, 308362, 6375.60, 249, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 776,  5,  7,   46, 1, 2, 274295, 6375.60, 32, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 765,  4, 10,   46, 1, 2, 308313, 6375.60, 1, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 764,  5,  8,   46, 1, 2, 308323, 6375.60, 1, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 759,  4, 10,   46, 1, 2, 308247, 6375.60, 1, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 745,  9,  4,   46, 1, 2, 281788, 6375.60, 70, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 520,  9,  4,   46, 1, 2, 281803, 6375.60, 32, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 732,  6,  6,   46, 1, 2, 281808, 6375.60, 6, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 730,  4,  9,   46, 1, 2, 281789, 6375.60, 34, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 702,  5,  7,   46, 1, 2, 274295, 6375.60, 1, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 685,  6,  6,   46, 1, 2, 281806, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 675,  4,  9,   46, 1, 2, 281740, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 671,  5,  8,   46, 1, 2, 308215, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 664,  6,  6,   46, 1, 2, 281778, 6375.60, 16, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 106,  4,  9,   46, 1, 2, 281770, 6375.60, 99, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,   8,  5,  8,   46, 1, 2, 307967, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  94,  5,  8,   46, 1, 2, 308212, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 103,  9,  4,   46, 1, 2, 281805, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  16,  5,  8,   46, 1, 2, 308293, 6375.60, 208, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 152,  4, 10,   46, 1, 2, 308257, 6375.60, 128, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 150,  4, 10,   46, 1, 2, 308356, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 149,  4,  9,   46, 1, 2, 281776, 6375.60, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  67,  7,  5,   46, 1, 2, 274295, 6375.60, 249, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  18,  4,  9,   46, 1, 2, 281788, 6375.60, 34, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  19,  6,  6,   46, 1, 2, 281810, 6375.60, 249, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 162,  5,  8,   46, 1, 2, 308200, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 144,  7,  5,   46, 1, 2, 274295, 6375.60, 224, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  24,  9,  4,   46, 1, 2, 281800, 6375.60, 208, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  65,  4,  9,   46, 1, 2, 281775, 6375.60, 128, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  60,  5,  8,   46, 1, 2, 308256, 6375.60, 6, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  56,  7,  5,   46, 1, 2, 274295, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 126,  5,  8,   46, 1, 2, 308455, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  47,  9,  4,   46, 1, 2, 281783, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 132,  5,  8,   46, 1, 2, 308352, 6375.60, 6, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  41,  7,  5,   46, 1, 2, 274295, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  79,  5,  7,   46, 1, 2, 274295, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,   3,  5,  8,   46, 1, 2, 308348, 6375.60, 62, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 161,  5,  8,   46, 1, 2, 308142, 6375.60, 0, 0.00, 1: 40; 2: 3; 
