Seed 1656949570
ARCH 0|F_ID 2|LIMIT 2
before: 
02(970)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 938,  6,  6,   47, 0, 2, 281786, 5444.15, 0, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 315,  5,  7,   52, 0, 2, 274295, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 404,  5,  8,   52, 0, 2, 308528, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 463,  4, 10,   52, 0, 2, 308294, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 260,  4, 10,   52, 0, 2, 308328, 5444.15, 244, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 476,  5,  8,   52, 0, 2, 308282, 5444.15, 244, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 483,  5,  7,   52, 0, 2, 274295, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 438,  4,  9,   52, 0, 2, 281851, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 278,  5,  8,   52, 0, 2, 308261, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 509,  6,  6,   52, 0, 2, 281776, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 413,  4, 10,   52, 0, 2, 308291, 5444.15, 85, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 236,  6,  6,   52, 0, 2, 281777, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 405,  4, 10,   52, 0, 2, 308193, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 287,  5,  8,   52, 0, 2, 308301, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 223,  5,  8,   52, 0, 2, 308300, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 640,  4, 10,   52, 0, 2, 308275, 5444.15, 144, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 213,  5,  7,   52, 0, 2, 274295, 5444.15, 85, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 572,  4, 10,   52, 0, 2, 308286, 5444.15, 1, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 581,  5,  8,   52, 0, 2, 308340, 5444.15, 85, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 583,  9,  4,   52, 0, 2, 281799, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 293,  4, 10,   52, 0, 2, 308286, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 608,  4, 10,   52, 0, 2, 308318, 5444.15, 13, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 193,  5,  8,   52, 0, 2, 308278, 5444.15, 132, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 189,  5,  8,   52, 0, 2, 308352, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 621,  7,  5,   52, 0, 2, 274295, 5444.15, 111, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 184,  6,  6,   52, 0, 2, 281808, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 388,  5,  8,   52, 0, 2, 308319, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 382,  4,  9,   52, 0, 2, 281814, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway,  13,  5,  8,   52, 0, 2, 308382, 5444.15, 127, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 879,  5,  8,   52, 0, 2, 308311, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 755,  7,  5,   52, 0, 2, 274295, 5444.15, 115, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway,  34,  9,  4,   52, 0, 2, 281792, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway,  51,  4, 10,   52, 0, 2, 308295, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 757,  9,  4,   52, 0, 2, 281811, 5444.15, 32, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway,  85,  5,  8,   52, 0, 2, 308278, 5444.15, 85, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 763,  4, 10,   52, 0, 2, 308375, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 110,  7,  5,   52, 0, 2, 274295, 5444.15, 108, 0.00, 0: 2; 1: 30; 2: 11; 
