Seed 1656949570
ARCH 1|F_ID 3|LIMIT 7
before: 
35(674)
Erb-reception, 139, 17, 15, 2377, 1, 5, 2070765, 380261.00, 0, 0.00, 1: 301; 2: 399; 3: 298; 4: 86; 5: 8; 
Erb-reception, 162, 16, 16, 2377, 1, 5, 2053947, 380261.00, 0, 0.00, 1: 303; 2: 400; 3: 293; 4: 85; 5: 11; 
Erb-reception, 702, 14, 18, 2378, 1, 5, 2023309, 380261.00, 0, 0.00, 1: 300; 2: 392; 3: 307; 4: 92; 5: 1; 
Erb-reception,  70, 15, 17, 2378, 1, 5, 2070844, 380261.00, 0, 0.00, 1: 297; 2: 411; 3: 284; 4: 93; 5: 7; 
Erb-reception, 678, 13, 20, 2378, 1, 5, 2082645, 380261.00, 0, 0.00, 1: 311; 2: 386; 3: 293; 4: 94; 5: 8; 
Erb-reception, 982, 13, 19, 2378, 1, 5, 2005146, 380261.00, 0, 0.00, 1: 303; 2: 395; 3: 298; 4: 89; 5: 7; 
Erb-reception, 166, 13, 19, 2379, 1, 5, 2005146, 380261.00, 0, 0.00, 1: 298; 2: 399; 3: 301; 4: 90; 5: 4; 
Erb-reception, 407, 15, 17, 2379, 1, 5, 2070833, 380261.00, 0, 0.00, 1: 300; 2: 399; 3: 296; 4: 92; 5: 5; 
Erb-reception, 160, 18, 14, 2379, 1, 5, 2023400, 380261.00, 40, 0.00, 1: 294; 2: 424; 3: 268; 4: 97; 5: 9; 
Erb-reception, 782, 13, 20, 2380, 1, 5, 2082580, 380261.00, 0, 0.00, 1: 299; 2: 396; 3: 309; 4: 78; 5: 10; 
Erb-reception, 353, 14, 18, 2380, 1, 5, 2023452, 380261.00, 0, 0.00, 1: 310; 2: 394; 3: 276; 4: 106; 5: 6; 
Erb-reception,  59, 17, 15, 2380, 1, 5, 2070841, 380261.00, 0, 0.00, 1: 300; 2: 396; 3: 301; 4: 90; 5: 5; 
Erb-reception, 972, 18, 14, 2380, 1, 5, 2023372, 380261.00, 243, 0.00, 1: 295; 2: 409; 3: 292; 4: 89; 5: 7; 
Erb-reception, 377, 14, 18, 2380, 1, 5, 2023351, 380261.00, 0, 0.00, 1: 298; 2: 407; 3: 289; 4: 89; 5: 9; 
Erb-reception, 813, 17, 15, 2380, 1, 5, 2070844, 380261.00, 0, 0.00, 1: 300; 2: 396; 3: 303; 4: 86; 5: 7; 
Erb-reception, 616, 15, 17, 2380, 1, 5, 2070764, 380261.00, 154, 0.00, 1: 302; 2: 395; 3: 297; 4: 93; 5: 5; 
Erb-reception, 725, 17, 15, 2381, 1, 5, 2070871, 380261.00, 0, 0.00, 1: 284; 2: 432; 3: 280; 4: 87; 5: 9; 
Erb-reception, 260, 14, 18, 2381, 1, 5, 2023455, 380261.00, 65, 0.00, 1: 303; 2: 394; 3: 293; 4: 99; 5: 3; 
Erb-reception, 183, 16, 16, 2381, 1, 5, 2054074, 380261.00, 0, 0.00, 1: 280; 2: 420; 3: 310; 4: 79; 5: 3; 
Erb-reception, 112, 13, 20, 2381, 1, 5, 2082678, 380261.00, 28, 0.00, 1: 290; 2: 412; 3: 302; 4: 79; 5: 9; 
Erb-reception, 440, 15, 17, 2382, 1, 5, 2070804, 380261.00, 110, 0.00, 1: 302; 2: 404; 3: 280; 4: 98; 5: 8; 
Erb-reception, 842, 13, 20, 2382, 1, 5, 2082576, 380261.00, 0, 0.00, 1: 303; 2: 397; 3: 296; 4: 83; 5: 13; 
Erb-reception, 835, 14, 18, 2382, 1, 5, 2023420, 380261.00, 0, 0.00, 1: 300; 2: 396; 3: 297; 4: 96; 5: 3; 
Erb-reception, 536, 18, 14, 2382, 1, 5, 2023372, 380261.00, 134, 0.00, 1: 300; 2: 394; 3: 306; 4: 84; 5: 8; 
Erb-reception, 730, 13, 19, 2382, 1, 5, 2005146, 380261.00, 0, 0.00, 1: 301; 2: 398; 3: 297; 4: 86; 5: 10; 
Erb-reception, 888, 13, 19, 2383, 1, 5, 2005146, 380261.00, 222, 0.00, 1: 290; 2: 427; 3: 268; 4: 100; 5: 7; 
Erb-reception,   8, 17, 15, 2383, 1, 5, 2070857, 380261.00, 0, 0.00, 1: 300; 2: 397; 3: 298; 4: 90; 5: 7; 
Erb-reception, 895, 13, 19, 2383, 1, 5, 2005146, 380261.00, 0, 0.00, 1: 299; 2: 403; 3: 290; 4: 92; 5: 8; 
Erb-reception, 105, 13, 20, 2384, 1, 5, 2082584, 380261.00, 0, 0.00, 1: 283; 2: 428; 3: 284; 4: 92; 5: 5; 
