Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
723(536)
Lymphopoiesis_Regulatory_Network, 408,  6, 15,  201, 1, 3, 714314, 25754.62, 28, 0.00, 1: 121; 2: 31; 3: 6; 
Lymphopoiesis_Regulatory_Network, 324,  6, 15,  201, 1, 3, 714510, 25754.62, 18, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 235, 11,  8,  201, 1, 3, 700458, 25754.62, 0, 0.00, 1: 117; 2: 39; 3: 2; 
Lymphopoiesis_Regulatory_Network, 736,  9, 10,  201, 1, 3, 714487, 25754.62, 58, 0.00, 1: 117; 2: 39; 3: 2; 
Lymphopoiesis_Regulatory_Network, 922,  8, 11,  201, 1, 3, 700302, 25754.62, 0, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 363,  7, 12,  201, 1, 3, 668597, 25754.62, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network,  87,  8, 11,  201, 1, 3, 700535, 25754.62, 0, 0.00, 1: 123; 2: 27; 3: 8; 
Lymphopoiesis_Regulatory_Network, 490,  9,  9,  202, 1, 3, 644760, 25754.62, 0, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 947,  8, 11,  202, 1, 3, 700485, 25754.62, 0, 0.00, 1: 115; 2: 42; 3: 1; 
Lymphopoiesis_Regulatory_Network, 385,  6, 16,  202, 1, 3, 748856, 25754.62, 0, 0.00, 1: 120; 2: 32; 3: 6; 
Lymphopoiesis_Regulatory_Network, 652,  7, 13,  202, 1, 3, 720805, 25754.62, 70, 0.00, 1: 120; 2: 32; 3: 6; 
Lymphopoiesis_Regulatory_Network, 145,  7, 13,  202, 1, 3, 721031, 25754.62, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 655,  7, 13,  202, 1, 3, 720490, 25754.62, 0, 0.00, 1: 122; 2: 28; 3: 8; 
Lymphopoiesis_Regulatory_Network, 168,  8, 11,  202, 1, 3, 700364, 25754.62, 14, 0.00, 1: 121; 2: 30; 3: 7; 
Lymphopoiesis_Regulatory_Network, 183,  9, 10,  202, 1, 3, 714499, 25754.62, 0, 0.00, 1: 115; 2: 42; 3: 1; 
Lymphopoiesis_Regulatory_Network, 420,  7, 13,  202, 1, 3, 720993, 25754.62, 30, 0.00, 1: 116; 2: 40; 3: 2; 
Lymphopoiesis_Regulatory_Network, 419,  7, 13,  202, 1, 3, 720738, 25754.62, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 667,  7, 12,  202, 1, 3, 668728, 25754.62, 0, 0.00, 1: 116; 2: 40; 3: 2; 
