Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
3(241)
IL-6_Signalling, 375, 11,  8,  209, 1, 3, 704352, 23298.32, 0, 0.00, 1: 96; 2: 46; 3: 7; 
IL-6_Signalling, 280, 10,  9,  209, 1, 3, 720318, 23298.32, 23, 0.00, 1: 96; 2: 46; 3: 7; 
IL-6_Signalling, 578,  7, 14,  209, 1, 3, 775067, 23298.32, 0, 0.00, 1: 97; 2: 44; 3: 8; 
IL-6_Signalling, 359,  6, 16,  209, 1, 3, 760002, 23298.32, 0, 0.00, 1: 98; 2: 42; 3: 9; 
IL-6_Signalling, 684,  8, 11,  209, 1, 3, 704352, 23298.32, 57, 0.00, 1: 94; 2: 50; 3: 5; 
IL-6_Signalling, 764,  8, 11,  209, 1, 3, 704352, 23298.32, 43, 0.00, 1: 98; 2: 42; 3: 9; 
IL-6_Signalling,  41, 10,  9,  209, 1, 3, 720278, 23298.32, 0, 0.00, 1: 98; 2: 42; 3: 9; 
IL-6_Signalling, 366,  8, 11,  209, 1, 3, 704352, 23298.32, 0, 0.00, 1: 97; 2: 44; 3: 8; 
IL-6_Signalling, 846,  9, 10,  209, 1, 3, 720275, 23298.32, 0, 0.00, 1: 96; 2: 46; 3: 7; 
IL-6_Signalling, 506, 10,  9,  209, 1, 3, 720313, 23298.32, 0, 0.00, 1: 96; 2: 46; 3: 7; 
IL-6_Signalling, 863,  8, 11,  209, 1, 3, 704352, 23298.32, 0, 0.00, 1: 95; 2: 48; 3: 6; 
IL-6_Signalling, 813,  7, 13,  209, 1, 3, 727844, 23298.32, 0, 0.00, 1: 96; 2: 46; 3: 7; 
IL-6_Signalling, 892,  7, 14,  209, 1, 3, 775132, 23298.32, 33, 0.00, 1: 95; 2: 48; 3: 6; 
IL-6_Signalling, 777,  7, 14,  209, 1, 3, 775261, 23298.32, 0, 0.00, 1: 95; 2: 48; 3: 6; 
IL-6_Signalling, 449,  8, 11,  209, 1, 3, 704352, 23298.32, 0, 0.00, 1: 98; 2: 42; 3: 9; 
IL-6_Signalling, 165,  7, 14,  209, 1, 3, 775050, 23298.32, 0, 0.00, 1: 97; 2: 44; 3: 8; 
IL-6_Signalling, 582,  7, 13,  209, 1, 3, 727867, 23298.32, 0, 0.00, 1: 99; 2: 40; 3: 10; 
IL-6_Signalling, 776, 10,  9,  209, 1, 3, 720410, 23298.32, 65, 0.00, 1: 94; 2: 50; 3: 5; 
IL-6_Signalling, 395,  8, 11,  210, 1, 3, 704352, 23298.32, 0, 0.00, 1: 96; 2: 45; 3: 8; 
IL-6_Signalling,  48,  9, 10,  210, 1, 3, 720352, 23298.32, 4, 0.00, 1: 96; 2: 45; 3: 8; 
IL-6_Signalling,   2,  6, 15,  210, 1, 3, 720397, 23298.32, 196, 0.00, 1: 94; 2: 49; 3: 6; 
IL-6_Signalling, 913,  7, 13,  210, 1, 3, 727810, 23298.32, 0, 0.00, 1: 97; 2: 43; 3: 9; 
IL-6_Signalling, 918,  7, 14,  210, 1, 3, 775047, 23298.32, 0, 0.00, 1: 99; 2: 39; 3: 11; 
IL-6_Signalling, 889,  7, 14,  210, 1, 3, 774831, 23298.32, 0, 0.00, 1: 100; 2: 37; 3: 12; 
IL-6_Signalling, 887,  8, 12,  210, 1, 3, 759763, 23298.32, 0, 0.00, 1: 96; 2: 45; 3: 8; 
IL-6_Signalling, 257, 11,  8,  210, 1, 3, 704352, 23298.32, 0, 0.00, 1: 96; 2: 45; 3: 8; 
IL-6_Signalling, 974,  9, 10,  210, 1, 3, 720363, 23298.32, 0, 0.00, 1: 94; 2: 49; 3: 6; 
