Seed 1656949570
ARCH 2|F_ID 2|LIMIT 6
before: 
06(1000)
macrophave_activation, 237, 17, 20,  944, 1, 6, 2757858, 84908.06, 85, 0.00, 1: 280; 2: 138; 3: 50; 4: 35; 5: 10; 6: 8; 
macrophave_activation, 128, 17, 20,  944, 1, 6, 2757460, 84908.06, 117, 0.00, 1: 273; 2: 152; 3: 45; 4: 28; 5: 18; 6: 5; 
macrophave_activation, 486, 19, 17,  944, 1, 6, 2600075, 84908.06, 0, 0.00, 1: 277; 2: 141; 3: 57; 4: 24; 5: 14; 6: 8; 
macrophave_activation, 207, 16, 21,  944, 1, 6, 2696194, 84908.06, 0, 0.00, 1: 270; 2: 147; 3: 60; 4: 26; 5: 12; 6: 6; 
macrophave_activation, 245, 14, 24,  944, 1, 6, 2696433, 84908.06, 0, 0.00, 1: 271; 2: 151; 3: 52; 4: 25; 5: 17; 6: 5; 
macrophave_activation, 870, 13, 25,  944, 1, 6, 2632220, 84908.06, 0, 0.00, 1: 284; 2: 142; 3: 41; 4: 26; 5: 19; 6: 9; 
macrophave_activation,  45, 16, 21,  945, 1, 6, 2696262, 84908.06, 85, 0.00, 1: 272; 2: 149; 3: 51; 4: 28; 5: 16; 6: 5; 
macrophave_activation, 946, 17, 20,  945, 1, 6, 2757441, 84908.06, 0, 0.00, 1: 270; 2: 151; 3: 55; 4: 24; 5: 14; 6: 7; 
macrophave_activation, 171, 21, 16,  945, 1, 6, 2695937, 84908.06, 52, 0.00, 1: 281; 2: 145; 3: 43; 4: 24; 5: 19; 6: 9; 
macrophave_activation, 930, 15, 22,  945, 1, 6, 2658276, 84908.06, 0, 0.00, 1: 278; 2: 142; 3: 54; 4: 23; 5: 15; 6: 9; 
macrophave_activation,   3, 18, 18,  945, 1, 6, 2616155, 84908.06, 251, 0.00, 1: 270; 2: 145; 3: 67; 4: 18; 5: 14; 6: 7; 
macrophave_activation, 599, 14, 23,  945, 1, 6, 2635731, 84908.06, 0, 0.00, 1: 273; 2: 148; 3: 53; 4: 25; 5: 15; 6: 7; 
macrophave_activation,  17, 12, 27,  945, 1, 6, 2616155, 84908.06, 141, 0.00, 1: 275; 2: 138; 3: 62; 4: 27; 5: 14; 6: 5; 
macrophave_activation, 336, 12, 28,  945, 1, 6, 2696097, 84908.06, 45, 0.00, 1: 286; 2: 133; 3: 51; 4: 24; 5: 18; 6: 9; 
macrophave_activation, 668, 15, 22,  945, 1, 6, 2658021, 84908.06, 218, 0.00, 1: 273; 2: 148; 3: 50; 4: 29; 5: 16; 6: 5; 
macrophave_activation, 701, 17, 20,  945, 1, 6, 2757544, 84908.06, 85, 0.00, 1: 282; 2: 141; 3: 42; 4: 33; 5: 15; 6: 8; 
macrophave_activation, 134, 18, 18,  945, 1, 6, 2616109, 84908.06, 0, 0.00, 1: 264; 2: 161; 3: 52; 4: 24; 5: 13; 6: 7; 
macrophave_activation, 518, 16, 21,  945, 1, 6, 2696000, 84908.06, 0, 0.00, 1: 276; 2: 150; 3: 39; 4: 33; 5: 18; 6: 5; 
macrophave_activation, 464, 17, 20,  945, 1, 6, 2757934, 84908.06, 98, 0.00, 1: 278; 2: 146; 3: 43; 4: 29; 5: 20; 6: 5; 
macrophave_activation, 904, 16, 21,  945, 1, 6, 2696207, 84908.06, 128, 0.00, 1: 272; 2: 154; 3: 50; 4: 21; 5: 13; 6: 11; 
macrophave_activation, 746, 15, 22,  945, 1, 6, 2658162, 84908.06, 206, 0.00, 1: 282; 2: 136; 3: 53; 4: 27; 5: 14; 6: 9; 
macrophave_activation, 527, 13, 25,  945, 1, 6, 2632107, 84908.06, 0, 0.00, 1: 284; 2: 134; 3: 53; 4: 23; 5: 20; 6: 7; 
macrophave_activation, 884, 13, 25,  945, 1, 6, 2632176, 84908.06, 0, 0.00, 1: 287; 2: 130; 3: 58; 4: 17; 5: 18; 6: 11; 
macrophave_activation, 924, 12, 28,  946, 1, 6, 2696302, 84908.06, 218, 0.00, 1: 273; 2: 156; 3: 40; 4: 27; 5: 17; 6: 8; 
macrophave_activation, 871, 21, 16,  946, 1, 6, 2695593, 84908.06, 0, 0.00, 1: 286; 2: 128; 3: 56; 4: 28; 5: 14; 6: 9; 
macrophave_activation, 309, 17, 20,  946, 1, 6, 2757654, 84908.06, 0, 0.00, 1: 287; 2: 136; 3: 44; 4: 27; 5: 15; 6: 12; 
macrophave_activation,  40, 19, 17,  946, 1, 6, 2600106, 84908.06, 144, 0.00, 1: 284; 2: 133; 3: 51; 4: 30; 5: 15; 6: 8; 
macrophave_activation, 114, 17, 20,  946, 1, 6, 2757235, 84908.06, 0, 0.00, 1: 276; 2: 148; 3: 47; 4: 24; 5: 19; 6: 7; 
macrophave_activation, 181, 14, 24,  947, 1, 6, 2696030, 84908.06, 0, 0.00, 1: 281; 2: 139; 3: 48; 4: 28; 5: 18; 6: 7; 
macrophave_activation, 799, 17, 20,  947, 1, 6, 2757565, 84908.06, 0, 0.00, 1: 279; 2: 141; 3: 50; 4: 24; 5: 22; 6: 5; 
macrophave_activation,  21, 18, 18,  947, 1, 6, 2616105, 84908.06, 85, 0.00, 1: 275; 2: 145; 3: 50; 4: 30; 5: 14; 6: 7; 
macrophave_activation, 721, 17, 19,  947, 1, 6, 2600110, 84908.06, 0, 0.00, 1: 279; 2: 145; 3: 44; 4: 28; 5: 16; 6: 9; 
macrophave_activation, 642, 15, 22,  947, 1, 6, 2658034, 84908.06, 0, 0.00, 1: 277; 2: 144; 3: 53; 4: 20; 5: 19; 6: 8; 
macrophave_activation, 712, 16, 21,  947, 1, 6, 2696150, 84908.06, 0, 0.00, 1: 270; 2: 157; 3: 42; 4: 32; 5: 11; 6: 9; 
macrophave_activation, 208, 12, 29,  947, 1, 6, 2820995, 84908.06, 180, 0.00, 1: 276; 2: 149; 3: 47; 4: 22; 5: 18; 6: 9; 
macrophave_activation, 381, 13, 25,  947, 1, 6, 2632173, 84908.06, 85, 0.00, 1: 274; 2: 145; 3: 55; 4: 24; 5: 16; 6: 7; 
macrophave_activation, 284, 16, 21,  947, 1, 6, 2696282, 84908.06, 218, 0.00, 1: 272; 2: 145; 3: 54; 4: 33; 5: 11; 6: 6; 
macrophave_activation, 497, 18, 18,  947, 1, 6, 2616142, 84908.06, 0, 0.00, 1: 268; 2: 153; 3: 54; 4: 24; 5: 17; 6: 5; 
macrophave_activation, 298, 17, 19,  947, 1, 6, 2600091, 84908.06, 206, 0.00, 1: 271; 2: 148; 3: 52; 4: 31; 5: 14; 6: 5; 
macrophave_activation, 318, 21, 16,  947, 1, 6, 2696017, 84908.06, 0, 0.00, 1: 279; 2: 143; 3: 50; 4: 24; 5: 14; 6: 11; 
macrophave_activation, 144, 18, 18,  948, 1, 6, 2616078, 84908.06, 57, 0.00, 1: 279; 2: 141; 3: 51; 4: 24; 5: 18; 6: 8; 
macrophave_activation, 467, 18, 18,  948, 1, 6, 2616158, 84908.06, 0, 0.00, 1: 280; 2: 138; 3: 49; 4: 31; 5: 17; 6: 6; 
macrophave_activation,   8, 19, 17,  948, 1, 6, 2600111, 84908.06, 208, 0.00, 1: 284; 2: 140; 3: 41; 4: 28; 5: 19; 6: 9; 
macrophave_activation,  38, 18, 18,  948, 1, 6, 2616163, 84908.06, 0, 0.00, 1: 277; 2: 148; 3: 41; 4: 33; 5: 12; 6: 10; 
macrophave_activation,  64, 17, 20,  948, 1, 6, 2757657, 84908.06, 211, 0.00, 1: 273; 2: 141; 3: 55; 4: 35; 5: 14; 6: 3; 
macrophave_activation, 971, 16, 21,  948, 1, 6, 2696171, 84908.06, 52, 0.00, 1: 281; 2: 140; 3: 45; 4: 30; 5: 18; 6: 7; 
