Seed 1656949570
ARCH 1|F_ID 2|LIMIT 6
before: 
306(1000)
macrophave_activation, 642, 15, 22,  906, 1, 6, 2658081, 75543.10, 0, 0.00, 1: 290; 2: 146; 3: 46; 4: 16; 5: 16; 6: 7; 
macrophave_activation, 620, 14, 24,  907, 1, 6, 2696139, 75543.10, 200, 0.00, 1: 295; 2: 133; 3: 45; 4: 33; 5: 11; 6: 4; 
macrophave_activation, 107, 17, 19,  907, 1, 6, 2600089, 75543.10, 142, 0.00, 1: 297; 2: 134; 3: 42; 4: 29; 5: 14; 6: 5; 
macrophave_activation, 786, 13, 25,  907, 1, 6, 2632211, 75543.10, 0, 0.00, 1: 294; 2: 137; 3: 47; 4: 24; 5: 12; 6: 7; 
macrophave_activation,  44, 21, 16,  907, 1, 6, 2696268, 75543.10, 200, 0.00, 1: 295; 2: 132; 3: 50; 4: 26; 5: 14; 6: 4; 
macrophave_activation, 903, 18, 18,  907, 1, 6, 2616142, 75543.10, 0, 0.00, 1: 294; 2: 136; 3: 44; 4: 31; 5: 11; 6: 5; 
macrophave_activation, 869, 21, 16,  908, 1, 6, 2696094, 75543.10, 0, 0.00, 1: 296; 2: 135; 3: 43; 4: 28; 5: 13; 6: 6; 
macrophave_activation, 589, 19, 17,  908, 1, 6, 2599995, 75543.10, 85, 0.00, 1: 291; 2: 139; 3: 45; 4: 31; 5: 10; 6: 5; 
macrophave_activation, 129, 19, 17,  908, 1, 6, 2600097, 75543.10, 0, 0.00, 1: 299; 2: 129; 3: 50; 4: 23; 5: 11; 6: 9; 
macrophave_activation, 993, 21, 16,  908, 1, 6, 2695819, 75543.10, 1, 0.00, 1: 295; 2: 134; 3: 48; 4: 24; 5: 15; 6: 5; 
macrophave_activation, 551, 17, 20,  909, 1, 6, 2757769, 75543.10, 0, 0.00, 1: 304; 2: 126; 3: 44; 4: 22; 5: 17; 6: 8; 
macrophave_activation,   6, 19, 17,  909, 1, 6, 2600106, 75543.10, 0, 0.00, 1: 298; 2: 133; 3: 41; 4: 27; 5: 18; 6: 4; 
macrophave_activation, 223, 19, 17,  909, 1, 6, 2600083, 75543.10, 0, 0.00, 1: 304; 2: 120; 3: 52; 4: 22; 5: 17; 6: 6; 
macrophave_activation, 923, 15, 22,  909, 1, 6, 2658030, 75543.10, 142, 0.00, 1: 287; 2: 147; 3: 46; 4: 21; 5: 14; 6: 6; 
macrophave_activation, 682, 17, 19,  909, 1, 6, 2600109, 75543.10, 240, 0.00, 1: 289; 2: 150; 3: 36; 4: 25; 5: 14; 6: 7; 
macrophave_activation, 281, 13, 26,  909, 1, 6, 2726521, 75543.10, 55, 0.00, 1: 299; 2: 126; 3: 55; 4: 20; 5: 13; 6: 8; 
macrophave_activation, 593, 12, 28,  909, 1, 6, 2696172, 75543.10, 0, 0.00, 1: 292; 2: 141; 3: 46; 4: 21; 5: 13; 6: 8; 
macrophave_activation, 162, 18, 18,  909, 1, 6, 2616153, 75543.10, 0, 0.00, 1: 303; 2: 125; 3: 43; 4: 27; 5: 19; 6: 4; 
macrophave_activation, 526, 16, 21,  910, 1, 6, 2696241, 75543.10, 0, 0.00, 1: 303; 2: 124; 3: 49; 4: 22; 5: 14; 6: 9; 
macrophave_activation, 979, 19, 17,  910, 1, 6, 2600085, 75543.10, 0, 0.00, 1: 303; 2: 122; 3: 50; 4: 23; 5: 17; 6: 6; 
macrophave_activation, 712, 16, 21,  910, 1, 6, 2696306, 75543.10, 0, 0.00, 1: 297; 2: 131; 3: 47; 4: 25; 5: 16; 6: 5; 
macrophave_activation,  62, 19, 17,  910, 1, 6, 2600062, 75543.10, 0, 0.00, 1: 303; 2: 119; 3: 53; 4: 28; 5: 10; 6: 8; 
macrophave_activation,  99, 17, 20,  910, 1, 6, 2757511, 75543.10, 0, 0.00, 1: 303; 2: 126; 3: 43; 4: 27; 5: 14; 6: 8; 
macrophave_activation, 635, 14, 23,  910, 1, 6, 2635731, 75543.10, 142, 0.00, 1: 301; 2: 126; 3: 49; 4: 21; 5: 18; 6: 6; 
macrophave_activation, 492, 17, 20,  910, 1, 6, 2757413, 75543.10, 200, 0.00, 1: 290; 2: 141; 3: 48; 4: 23; 5: 12; 6: 7; 
macrophave_activation, 318, 21, 16,  910, 1, 6, 2696131, 75543.10, 0, 0.00, 1: 292; 2: 141; 3: 40; 4: 28; 5: 16; 6: 4; 
macrophave_activation, 538, 15, 22,  910, 1, 6, 2658045, 75543.10, 240, 0.00, 1: 291; 2: 142; 3: 43; 4: 25; 5: 14; 6: 6; 
macrophave_activation, 591, 17, 19,  911, 1, 6, 2600102, 75543.10, 0, 0.00, 1: 290; 2: 138; 3: 49; 4: 25; 5: 16; 6: 3; 
macrophave_activation, 332, 12, 28,  911, 1, 6, 2696117, 75543.10, 200, 0.00, 1: 302; 2: 125; 3: 50; 4: 19; 5: 17; 6: 8; 
