Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
3(175)
IL-6_Signalling, 475, 11,  8,  207, 1, 3, 704352, 20184.74, 0, 0.00, 1: 99; 2: 42; 3: 8; 
IL-6_Signalling, 198,  9, 10,  208, 1, 3, 720472, 20184.74, 0, 0.00, 1: 99; 2: 41; 3: 9; 
IL-6_Signalling, 986, 11,  8,  208, 1, 3, 704352, 20184.74, 0, 0.00, 1: 99; 2: 41; 3: 9; 
IL-6_Signalling, 460,  8, 12,  208, 1, 3, 760131, 20184.74, 4, 0.00, 1: 97; 2: 45; 3: 7; 
IL-6_Signalling, 168, 10,  9,  208, 1, 3, 720462, 20184.74, 13, 0.00, 1: 95; 2: 49; 3: 5; 
IL-6_Signalling, 679,  7, 14,  208, 1, 3, 775140, 20184.74, 0, 0.00, 1: 94; 2: 51; 3: 4; 
IL-6_Signalling,  34, 10,  9,  208, 1, 3, 720332, 20184.74, 0, 0.00, 1: 98; 2: 43; 3: 8; 
IL-6_Signalling, 156,  8, 12,  208, 1, 3, 759571, 20184.74, 12, 0.00, 1: 97; 2: 45; 3: 7; 
IL-6_Signalling, 818,  8, 12,  208, 1, 3, 760335, 20184.74, 0, 0.00, 1: 97; 2: 45; 3: 7; 
IL-6_Signalling, 963, 11,  8,  208, 1, 3, 704352, 20184.74, 0, 0.00, 1: 97; 2: 45; 3: 7; 
IL-6_Signalling,  18,  8, 11,  208, 1, 3, 704352, 20184.74, 42, 0.00, 1: 97; 2: 45; 3: 7; 
IL-6_Signalling, 442,  7, 14,  208, 1, 3, 775446, 20184.74, 0, 0.00, 1: 96; 2: 47; 3: 6; 
IL-6_Signalling, 309,  8, 12,  208, 1, 3, 759476, 20184.74, 0, 0.00, 1: 96; 2: 47; 3: 6; 
IL-6_Signalling, 746,  7, 14,  208, 1, 3, 774888, 20184.74, 0, 0.00, 1: 99; 2: 41; 3: 9; 
IL-6_Signalling, 144, 11,  8,  209, 1, 3, 704352, 20184.74, 9, 0.00, 1: 95; 2: 48; 3: 6; 
IL-6_Signalling, 642,  7, 14,  209, 1, 3, 774949, 20184.74, 0, 0.00, 1: 95; 2: 48; 3: 6; 
IL-6_Signalling, 191, 10,  9,  209, 1, 3, 720471, 20184.74, 0, 0.00, 1: 99; 2: 40; 3: 10; 
IL-6_Signalling, 894,  7, 13,  209, 1, 3, 727989, 20184.74, 0, 0.00, 1: 93; 2: 52; 3: 4; 
IL-6_Signalling,  29,  9, 10,  209, 1, 3, 720370, 20184.74, 86, 0.00, 1: 97; 2: 44; 3: 8; 
IL-6_Signalling, 959, 11,  8,  209, 1, 3, 704352, 20184.74, 0, 0.00, 1: 98; 2: 42; 3: 9; 
IL-6_Signalling,  95, 10,  9,  209, 1, 3, 720273, 20184.74, 0, 0.00, 1: 96; 2: 46; 3: 7; 
IL-6_Signalling, 769,  6, 17,  209, 1, 3, 797517, 20184.74, 0, 0.00, 1: 98; 2: 42; 3: 9; 
IL-6_Signalling, 179,  7, 13,  209, 1, 3, 727768, 20184.74, 0, 0.00, 1: 98; 2: 42; 3: 9; 
IL-6_Signalling, 320,  7, 13,  209, 1, 3, 727791, 20184.74, 25, 0.00, 1: 97; 2: 44; 3: 8; 
IL-6_Signalling, 702, 10,  9,  209, 1, 3, 720194, 20184.74, 0, 0.00, 1: 96; 2: 46; 3: 7; 
IL-6_Signalling, 937,  8, 11,  210, 1, 3, 704352, 20184.74, 0, 0.00, 1: 99; 2: 39; 3: 11; 
IL-6_Signalling, 222,  7, 13,  210, 1, 3, 727372, 20184.74, 0, 0.00, 1: 96; 2: 45; 3: 8; 
IL-6_Signalling, 332,  7, 13,  210, 1, 3, 727871, 20184.74, 28, 0.00, 1: 98; 2: 41; 3: 10; 
IL-6_Signalling, 101,  8, 11,  210, 1, 3, 704352, 20184.74, 0, 0.00, 1: 95; 2: 47; 3: 7; 
IL-6_Signalling,   8, 11,  8,  210, 1, 3, 704352, 20184.74, 240, 0.00, 1: 100; 2: 37; 3: 12; 
IL-6_Signalling, 631,  9, 10,  210, 1, 3, 720358, 20184.74, 0, 0.00, 1: 94; 2: 49; 3: 6; 
IL-6_Signalling, 307,  8, 11,  210, 1, 3, 704352, 20184.74, 0, 0.00, 1: 97; 2: 43; 3: 9; 
IL-6_Signalling,  45, 11,  8,  210, 1, 3, 704352, 20184.74, 0, 0.00, 1: 94; 2: 49; 3: 6; 
IL-6_Signalling, 681,  8, 12,  210, 1, 3, 759314, 20184.74, 0, 0.00, 1: 95; 2: 47; 3: 7; 
IL-6_Signalling,  27, 11,  8,  210, 1, 3, 704352, 20184.74, 23, 0.00, 1: 93; 2: 51; 3: 5; 
IL-6_Signalling, 994,  7, 14,  211, 1, 3, 775029, 20184.74, 0, 0.00, 1: 94; 2: 48; 3: 7; 
IL-6_Signalling, 723,  7, 13,  211, 1, 3, 727829, 20184.74, 0, 0.00, 1: 94; 2: 48; 3: 7; 
IL-6_Signalling, 428,  8, 12,  211, 1, 3, 760104, 20184.74, 78, 0.00, 1: 97; 2: 42; 3: 10; 
IL-6_Signalling, 881,  7, 13,  211, 1, 3, 727785, 20184.74, 0, 0.00, 1: 98; 2: 40; 3: 11; 
IL-6_Signalling,  69,  8, 11,  211, 1, 3, 704352, 20184.74, 0, 0.00, 1: 96; 2: 44; 3: 9; 
