Seed 1656949570
ARCH 0|F_ID 1|LIMIT 5
before: 
16(471)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 585,  8,  8,  463, 0, 6, 506554, 22393.59, 0, 0.00, 0: 5; 1: 58; 2: 52; 3: 38; 4: 27; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 450,  8,  8,  470, 0, 6, 506463, 22393.59, 0, 0.00, 0: 5; 1: 50; 2: 59; 3: 41; 4: 24; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011,   7,  8,  8,  470, 0, 6, 506535, 22393.59, 0, 0.00, 0: 5; 1: 48; 2: 61; 3: 43; 4: 22; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 328,  9,  7,  470, 0, 6, 499203, 22393.59, 1, 0.00, 0: 5; 1: 45; 2: 64; 3: 46; 4: 20; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 825,  8,  8,  470, 0, 6, 506529, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 52; 3: 41; 4: 26; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 824,  8,  8,  470, 0, 6, 506509, 22393.59, 24, 0.00, 0: 5; 1: 49; 2: 62; 3: 41; 4: 21; 5: 12; 6: 5; 
T-LGL_Survival_Network_2011, 236,  7,  9,  471, 0, 6, 499202, 22393.59, 12, 0.00, 0: 5; 1: 51; 2: 56; 3: 43; 4: 25; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 186,  8,  8,  471, 0, 6, 506506, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 55; 3: 40; 4: 22; 5: 15; 6: 4; 
T-LGL_Survival_Network_2011, 184,  7,  9,  471, 0, 6, 499174, 22393.59, 1, 0.00, 0: 5; 1: 49; 2: 61; 3: 40; 4: 24; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011,  53,  9,  7,  471, 0, 6, 499194, 22393.59, 0, 0.00, 0: 5; 1: 56; 2: 52; 3: 38; 4: 27; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011,  60,  7,  9,  471, 0, 6, 499200, 22393.59, 0, 0.00, 0: 5; 1: 49; 2: 65; 3: 37; 4: 20; 5: 13; 6: 6; 
T-LGL_Survival_Network_2011, 149,  8,  8,  471, 0, 6, 506536, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 53; 3: 41; 4: 25; 5: 14; 6: 3; 
T-LGL_Survival_Network_2011, 870,  8,  8,  471, 0, 6, 506530, 22393.59, 0, 0.00, 0: 5; 1: 45; 2: 68; 3: 38; 4: 23; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 872,  7,  9,  471, 0, 6, 499215, 22393.59, 25, 0.00, 0: 5; 1: 60; 2: 46; 3: 37; 4: 31; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 203,  9,  7,  471, 0, 6, 499193, 22393.59, 0, 0.00, 0: 5; 1: 48; 2: 65; 3: 37; 4: 23; 5: 12; 6: 5; 
T-LGL_Survival_Network_2011,  39,  9,  7,  471, 0, 6, 499186, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 56; 3: 39; 4: 22; 5: 14; 6: 5; 
T-LGL_Survival_Network_2011, 834,  8,  8,  471, 0, 6, 506510, 22393.59, 0, 0.00, 0: 5; 1: 50; 2: 60; 3: 39; 4: 25; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 241,  7,  9,  471, 0, 6, 499205, 22393.59, 0, 0.00, 0: 5; 1: 52; 2: 55; 3: 42; 4: 26; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 547,  7,  9,  471, 0, 6, 499206, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 50; 3: 47; 4: 23; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 279,  7,  9,  471, 0, 6, 499163, 22393.59, 0, 0.00, 0: 5; 1: 49; 2: 66; 3: 34; 4: 22; 5: 14; 6: 5; 
T-LGL_Survival_Network_2011, 506,  9,  7,  471, 0, 6, 499205, 22393.59, 0, 0.00, 0: 5; 1: 49; 2: 58; 3: 45; 4: 23; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 493,  7,  9,  471, 0, 6, 499226, 22393.59, 0, 0.00, 0: 5; 1: 48; 2: 66; 3: 35; 4: 24; 5: 12; 6: 5; 
T-LGL_Survival_Network_2011, 456,  9,  7,  471, 0, 6, 499195, 22393.59, 2, 0.00, 0: 5; 1: 50; 2: 61; 3: 40; 4: 21; 5: 13; 6: 5; 
T-LGL_Survival_Network_2011, 454,  9,  7,  471, 0, 6, 499207, 22393.59, 0, 0.00, 0: 5; 1: 51; 2: 62; 3: 36; 4: 21; 5: 16; 6: 4; 
T-LGL_Survival_Network_2011, 442,  9,  7,  471, 0, 6, 499202, 22393.59, 0, 0.00, 0: 5; 1: 58; 2: 49; 3: 38; 4: 28; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 346,  8,  8,  471, 0, 6, 506498, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 54; 3: 36; 4: 29; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 116,  8,  8,  471, 0, 6, 506554, 22393.59, 9, 0.00, 0: 5; 1: 49; 2: 57; 3: 49; 4: 18; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 768,  9,  7,  471, 0, 6, 499229, 22393.59, 22, 0.00, 0: 5; 1: 52; 2: 60; 3: 38; 4: 21; 5: 13; 6: 6; 
T-LGL_Survival_Network_2011, 716,  8,  8,  472, 0, 6, 506472, 22393.59, 41, 0.00, 0: 5; 1: 53; 2: 53; 3: 43; 4: 26; 5: 10; 6: 5; 
T-LGL_Survival_Network_2011, 909,  8,  8,  472, 0, 6, 506465, 22393.59, 0, 0.00, 0: 5; 1: 51; 2: 58; 3: 40; 4: 24; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 285,  9,  7,  472, 0, 6, 499148, 22393.59, 0, 0.00, 0: 5; 1: 52; 2: 57; 3: 41; 4: 21; 5: 15; 6: 4; 
T-LGL_Survival_Network_2011, 500,  9,  7,  472, 0, 6, 499206, 22393.59, 20, 0.00, 0: 5; 1: 52; 2: 55; 3: 43; 4: 23; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 230,  7,  9,  472, 0, 6, 499201, 22393.59, 0, 0.00, 0: 5; 1: 52; 2: 56; 3: 42; 4: 23; 5: 12; 6: 5; 
T-LGL_Survival_Network_2011, 369,  8,  8,  472, 0, 6, 506534, 22393.59, 0, 0.00, 0: 5; 1: 57; 2: 52; 3: 33; 4: 31; 5: 14; 6: 3; 
T-LGL_Survival_Network_2011, 953,  9,  7,  472, 0, 6, 499204, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 50; 3: 47; 4: 22; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 772,  8,  8,  472, 0, 6, 506526, 22393.59, 30, 0.00, 0: 5; 1: 53; 2: 58; 3: 35; 4: 26; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 675,  7,  9,  472, 0, 6, 499188, 22393.59, 0, 0.00, 0: 5; 1: 48; 2: 58; 3: 48; 4: 20; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 141,  7,  9,  472, 0, 6, 499157, 22393.59, 0, 0.00, 0: 5; 1: 47; 2: 65; 3: 40; 4: 20; 5: 13; 6: 5; 
T-LGL_Survival_Network_2011, 918,  7,  9,  472, 0, 6, 499207, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 51; 3: 43; 4: 23; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 539,  9,  7,  472, 0, 6, 499190, 22393.59, 0, 0.00, 0: 5; 1: 48; 2: 62; 3: 40; 4: 24; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011,  52,  9,  7,  472, 0, 6, 499170, 22393.59, 17, 0.00, 0: 5; 1: 49; 2: 64; 3: 37; 4: 20; 5: 16; 6: 4; 
T-LGL_Survival_Network_2011,  31,  7,  9,  472, 0, 6, 499229, 22393.59, 0, 0.00, 0: 5; 1: 53; 2: 54; 3: 44; 4: 20; 5: 15; 6: 4; 
T-LGL_Survival_Network_2011, 334,  8,  8,  472, 0, 6, 506490, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 53; 3: 39; 4: 25; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 803,  7,  9,  472, 0, 6, 499205, 22393.59, 0, 0.00, 0: 5; 1: 56; 2: 54; 3: 35; 4: 26; 5: 15; 6: 4; 
T-LGL_Survival_Network_2011, 876,  8,  8,  472, 0, 6, 506478, 22393.59, 47, 0.00, 0: 5; 1: 54; 2: 50; 3: 47; 4: 21; 5: 15; 6: 3; 
