Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
103(477)
Lymphopoiesis_Regulatory_Network, 455, 11,  8,  203, 1, 3, 700471, 20467.92, 0, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network, 583,  7, 13,  203, 1, 3, 721411, 20467.92, 0, 0.00, 1: 119; 2: 33; 3: 6; 
Lymphopoiesis_Regulatory_Network, 605,  8, 11,  203, 1, 3, 700743, 20467.92, 0, 0.00, 1: 117; 2: 37; 3: 4; 
Lymphopoiesis_Regulatory_Network, 878,  7, 13,  203, 1, 3, 720906, 20467.92, 0, 0.00, 1: 119; 2: 33; 3: 6; 
Lymphopoiesis_Regulatory_Network, 456,  8, 11,  203, 1, 3, 700640, 20467.92, 35, 0.00, 1: 117; 2: 37; 3: 4; 
Lymphopoiesis_Regulatory_Network,  54,  7, 12,  203, 1, 3, 668844, 20467.92, 0, 0.00, 1: 120; 2: 31; 3: 7; 
Lymphopoiesis_Regulatory_Network, 650,  7, 13,  203, 1, 3, 721146, 20467.92, 0, 0.00, 1: 117; 2: 37; 3: 4; 
Lymphopoiesis_Regulatory_Network, 134,  8, 11,  203, 1, 3, 700529, 20467.92, 0, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network, 648,  9,  9,  203, 1, 3, 644760, 20467.92, 54, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network, 336,  8, 11,  203, 1, 3, 700371, 20467.92, 19, 0.00, 1: 119; 2: 33; 3: 6; 
Lymphopoiesis_Regulatory_Network,  58, 11,  8,  203, 1, 3, 700194, 20467.92, 0, 0.00, 1: 121; 2: 29; 3: 8; 
Lymphopoiesis_Regulatory_Network, 627,  9, 10,  203, 1, 3, 714605, 20467.92, 0, 0.00, 1: 115; 2: 41; 3: 2; 
Lymphopoiesis_Regulatory_Network,  17,  9,  9,  203, 1, 3, 644760, 20467.92, 199, 0.00, 1: 119; 2: 33; 3: 6; 
Lymphopoiesis_Regulatory_Network, 265,  9,  9,  204, 1, 3, 644760, 20467.92, 0, 0.00, 1: 118; 2: 34; 3: 6; 
Lymphopoiesis_Regulatory_Network, 963,  6, 15,  204, 1, 3, 715080, 20467.92, 0, 0.00, 1: 118; 2: 34; 3: 6; 
Lymphopoiesis_Regulatory_Network, 758,  6, 15,  204, 1, 3, 714339, 20467.92, 0, 0.00, 1: 118; 2: 34; 3: 6; 
Lymphopoiesis_Regulatory_Network, 763, 12,  7,  204, 1, 3, 668785, 20467.92, 0, 0.00, 1: 114; 2: 42; 3: 2; 
