Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
153(237)
Lymphopoiesis_Regulatory_Network, 427,  6, 16,  216, 1, 3, 749001, 20443.05, 0, 0.00, 1: 108; 2: 42; 3: 8; 
Lymphopoiesis_Regulatory_Network, 429,  9, 10,  216, 1, 3, 714553, 20443.05, 0, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 555,  9, 10,  216, 1, 3, 714188, 20443.05, 0, 0.00, 1: 109; 2: 40; 3: 9; 
Lymphopoiesis_Regulatory_Network, 295,  9, 10,  216, 1, 3, 714027, 20443.05, 0, 0.00, 1: 108; 2: 42; 3: 8; 
Lymphopoiesis_Regulatory_Network, 588, 11,  8,  216, 1, 3, 700578, 20443.05, 54, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 610, 11,  8,  216, 1, 3, 700445, 20443.05, 0, 0.00, 1: 106; 2: 46; 3: 6; 
Lymphopoiesis_Regulatory_Network, 803,  7, 12,  216, 1, 3, 668886, 20443.05, 0, 0.00, 1: 106; 2: 46; 3: 6; 
Lymphopoiesis_Regulatory_Network, 584,  9, 10,  216, 1, 3, 714403, 20443.05, 49, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 871,  7, 13,  217, 1, 3, 721044, 20443.05, 0, 0.00, 1: 109; 2: 39; 3: 10; 
Lymphopoiesis_Regulatory_Network, 948,  7, 12,  217, 1, 3, 668834, 20443.05, 70, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 881,  6, 15,  217, 1, 3, 714280, 20443.05, 0, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 246,  6, 16,  217, 1, 3, 748526, 20443.05, 0, 0.00, 1: 110; 2: 37; 3: 11; 
Lymphopoiesis_Regulatory_Network, 791,  6, 14,  217, 1, 3, 668872, 20443.05, 0, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network, 985,  7, 12,  217, 1, 3, 668782, 20443.05, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 575,  8, 11,  217, 1, 3, 700866, 20443.05, 0, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network, 669,  6, 14,  217, 1, 3, 668615, 20443.05, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 854, 12,  7,  217, 1, 3, 668142, 20443.05, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 943, 11,  8,  217, 1, 3, 700386, 20443.05, 0, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network, 560,  8, 11,  217, 1, 3, 700559, 20443.05, 46, 0.00, 1: 109; 2: 39; 3: 10; 
Lymphopoiesis_Regulatory_Network, 148,  6, 15,  217, 1, 3, 714331, 20443.05, 60, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 723,  7, 13,  217, 1, 3, 720497, 20443.05, 0, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network, 282, 11,  8,  217, 1, 3, 700841, 20443.05, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 800,  9,  9,  217, 1, 3, 644760, 20443.05, 61, 0.00, 1: 110; 2: 37; 3: 11; 
Lymphopoiesis_Regulatory_Network, 423, 12,  7,  217, 1, 3, 668683, 20443.05, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 622,  9, 10,  217, 1, 3, 714766, 20443.05, 0, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network, 760,  6, 16,  217, 1, 3, 748768, 20443.05, 59, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 913,  7, 13,  217, 1, 3, 721006, 20443.05, 0, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 269,  7, 12,  217, 1, 3, 668810, 20443.05, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 463, 12,  7,  217, 1, 3, 668752, 20443.05, 0, 0.00, 1: 108; 2: 41; 3: 9; 
Lymphopoiesis_Regulatory_Network, 478, 12,  7,  217, 1, 3, 668809, 20443.05, 0, 0.00, 1: 104; 2: 49; 3: 5; 
Lymphopoiesis_Regulatory_Network, 378,  7, 12,  217, 1, 3, 668696, 20443.05, 0, 0.00, 1: 108; 2: 41; 3: 9; 
Lymphopoiesis_Regulatory_Network, 508, 12,  7,  217, 1, 3, 668745, 20443.05, 68, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 184,  8, 11,  217, 1, 3, 700709, 20443.05, 14, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network,  93, 11,  8,  217, 1, 3, 700313, 20443.05, 0, 0.00, 1: 109; 2: 39; 3: 10; 
Lymphopoiesis_Regulatory_Network, 319,  9,  9,  217, 1, 3, 644760, 20443.05, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 644,  9,  9,  217, 1, 3, 644760, 20443.05, 67, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 458, 12,  7,  217, 1, 3, 668768, 20443.05, 0, 0.00, 1: 108; 2: 41; 3: 9; 
Lymphopoiesis_Regulatory_Network, 920,  7, 12,  217, 1, 3, 668417, 20443.05, 64, 0.00, 1: 108; 2: 41; 3: 9; 
Lymphopoiesis_Regulatory_Network, 832,  6, 14,  218, 1, 3, 668797, 20443.05, 61, 0.00, 1: 108; 2: 40; 3: 10; 
Lymphopoiesis_Regulatory_Network, 229,  7, 13,  218, 1, 3, 720015, 20443.05, 0, 0.00, 1: 106; 2: 44; 3: 8; 
Lymphopoiesis_Regulatory_Network, 205, 11,  8,  218, 1, 3, 700353, 20443.05, 0, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 402,  6, 16,  218, 1, 3, 748462, 20443.05, 0, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 890, 11,  8,  218, 1, 3, 700075, 20443.05, 0, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 758,  6, 15,  218, 1, 3, 714329, 20443.05, 0, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 210,  7, 13,  218, 1, 3, 721238, 20443.05, 0, 0.00, 1: 104; 2: 48; 3: 6; 
Lymphopoiesis_Regulatory_Network, 851,  9, 10,  218, 1, 3, 714476, 20443.05, 0, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 725, 11,  8,  218, 1, 3, 700453, 20443.05, 0, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 158, 11,  8,  218, 1, 3, 700514, 20443.05, 0, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 873,  7, 13,  218, 1, 3, 720643, 20443.05, 0, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 792, 11,  8,  218, 1, 3, 700791, 20443.05, 61, 0.00, 1: 106; 2: 44; 3: 8; 
Lymphopoiesis_Regulatory_Network, 191,  7, 12,  218, 1, 3, 668821, 20443.05, 0, 0.00, 1: 106; 2: 44; 3: 8; 
Lymphopoiesis_Regulatory_Network, 494,  6, 16,  218, 1, 3, 748132, 20443.05, 0, 0.00, 1: 106; 2: 44; 3: 8; 
Lymphopoiesis_Regulatory_Network, 889,  9, 10,  218, 1, 3, 714844, 20443.05, 0, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 167,  8, 11,  218, 1, 3, 700694, 20443.05, 0, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 572,  6, 14,  218, 1, 3, 668821, 20443.05, 54, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 288,  9,  9,  218, 1, 3, 644760, 20443.05, 18, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 586,  9,  9,  218, 1, 3, 644760, 20443.05, 0, 0.00, 1: 108; 2: 40; 3: 10; 
Lymphopoiesis_Regulatory_Network, 585,  6, 15,  218, 1, 3, 714703, 20443.05, 0, 0.00, 1: 106; 2: 44; 3: 8; 
Lymphopoiesis_Regulatory_Network, 609,  6, 15,  218, 1, 3, 714086, 20443.05, 0, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 293,  6, 14,  218, 1, 3, 668720, 20443.05, 0, 0.00, 1: 103; 2: 50; 3: 5; 
Lymphopoiesis_Regulatory_Network, 578, 11,  8,  218, 1, 3, 700376, 20443.05, 0, 0.00, 1: 104; 2: 48; 3: 6; 
Lymphopoiesis_Regulatory_Network, 366,  8, 11,  218, 1, 3, 700341, 20443.05, 0, 0.00, 1: 106; 2: 44; 3: 8; 
Lymphopoiesis_Regulatory_Network,  53,  8, 11,  218, 1, 3, 700370, 20443.05, 0, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 691,  9, 10,  218, 1, 3, 714274, 20443.05, 0, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 635, 11,  8,  218, 1, 3, 700307, 20443.05, 0, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network,  29,  6, 16,  218, 1, 3, 748572, 20443.05, 86, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 820,  8, 11,  218, 1, 3, 700288, 20443.05, 61, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network,  18,  9,  9,  218, 1, 3, 644760, 20443.05, 121, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 686,  9,  9,  218, 1, 3, 644760, 20443.05, 0, 0.00, 1: 104; 2: 48; 3: 6; 
Lymphopoiesis_Regulatory_Network, 138,  6, 15,  218, 1, 3, 714893, 20443.05, 0, 0.00, 1: 108; 2: 40; 3: 10; 
Lymphopoiesis_Regulatory_Network, 467,  6, 14,  219, 1, 3, 668850, 20443.05, 0, 0.00, 1: 106; 2: 43; 3: 9; 
Lymphopoiesis_Regulatory_Network, 437,  9, 10,  219, 1, 3, 714534, 20443.05, 0, 0.00, 1: 105; 2: 45; 3: 8; 
Lymphopoiesis_Regulatory_Network, 808,  7, 12,  219, 1, 3, 668887, 20443.05, 61, 0.00, 1: 107; 2: 41; 3: 10; 
Lymphopoiesis_Regulatory_Network, 704,  9, 10,  219, 1, 3, 714155, 20443.05, 57, 0.00, 1: 107; 2: 41; 3: 10; 
Lymphopoiesis_Regulatory_Network, 290, 11,  8,  219, 1, 3, 699971, 20443.05, 0, 0.00, 1: 104; 2: 47; 3: 7; 
Lymphopoiesis_Regulatory_Network, 678,  7, 12,  219, 1, 3, 668535, 20443.05, 0, 0.00, 1: 103; 2: 49; 3: 6; 
Lymphopoiesis_Regulatory_Network, 991,  8, 11,  219, 1, 3, 700701, 20443.05, 0, 0.00, 1: 102; 2: 51; 3: 5; 
Lymphopoiesis_Regulatory_Network,  79,  7, 12,  219, 1, 3, 668906, 20443.05, 0, 0.00, 1: 103; 2: 49; 3: 6; 
Lymphopoiesis_Regulatory_Network,  23,  9,  9,  219, 1, 3, 644760, 20443.05, 0, 0.00, 1: 107; 2: 41; 3: 10; 
Lymphopoiesis_Regulatory_Network,  74,  9, 10,  219, 1, 3, 713957, 20443.05, 0, 0.00, 1: 104; 2: 47; 3: 7; 
Lymphopoiesis_Regulatory_Network, 265,  9,  9,  219, 1, 3, 644760, 20443.05, 0, 0.00, 1: 104; 2: 47; 3: 7; 
Lymphopoiesis_Regulatory_Network,  63, 12,  7,  219, 1, 3, 668575, 20443.05, 0, 0.00, 1: 106; 2: 43; 3: 9; 
Lymphopoiesis_Regulatory_Network, 902, 11,  8,  219, 1, 3, 700555, 20443.05, 0, 0.00, 1: 104; 2: 47; 3: 7; 
Lymphopoiesis_Regulatory_Network, 697,  9,  9,  219, 1, 3, 644760, 20443.05, 0, 0.00, 1: 104; 2: 47; 3: 7; 
Lymphopoiesis_Regulatory_Network, 426, 11,  8,  219, 1, 3, 700774, 20443.05, 0, 0.00, 1: 108; 2: 39; 3: 11; 
Lymphopoiesis_Regulatory_Network, 650,  7, 13,  219, 1, 3, 721312, 20443.05, 0, 0.00, 1: 108; 2: 39; 3: 11; 
Lymphopoiesis_Regulatory_Network,  40,  6, 14,  219, 1, 3, 668809, 20443.05, 6, 0.00, 1: 104; 2: 47; 3: 7; 
Lymphopoiesis_Regulatory_Network, 796,  7, 13,  219, 1, 3, 721193, 20443.05, 18, 0.00, 1: 103; 2: 49; 3: 6; 
Lymphopoiesis_Regulatory_Network, 105,  7, 13,  219, 1, 3, 721177, 20443.05, 0, 0.00, 1: 104; 2: 47; 3: 7; 
Lymphopoiesis_Regulatory_Network, 957,  9,  9,  219, 1, 3, 644760, 20443.05, 0, 0.00, 1: 106; 2: 43; 3: 9; 
Lymphopoiesis_Regulatory_Network, 134,  8, 11,  219, 1, 3, 700392, 20443.05, 0, 0.00, 1: 106; 2: 43; 3: 9; 
