Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
4(589)
Melhor resultado nxn: IL-6_Signalling, 396,  9, 10,  286, 1, 4, 720332, 62553.50, 27, 0.00, 1: 53; 2: 60; 3: 31; 4: 5; 
IL-6_Signalling, 765,  8, 11,  298, 1, 4, 704352, 62553.50, 0, 0.00, 1: 48; 2: 57; 3: 40; 4: 4; 
IL-6_Signalling, 985, 10,  9,  298, 1, 4, 720357, 62553.50, 0, 0.00, 1: 48; 2: 59; 3: 36; 4: 6; 
IL-6_Signalling, 460,  8, 12,  298, 1, 4, 759883, 62553.50, 4, 0.00, 1: 51; 2: 53; 3: 39; 4: 6; 
IL-6_Signalling, 727,  9, 10,  298, 1, 4, 720377, 62553.50, 0, 0.00, 1: 46; 2: 61; 3: 38; 4: 4; 
IL-6_Signalling, 160,  8, 12,  298, 1, 4, 760146, 62553.50, 13, 0.00, 1: 50; 2: 55; 3: 38; 4: 6; 
IL-6_Signalling, 966,  9, 10,  298, 1, 4, 720373, 62553.50, 0, 0.00, 1: 48; 2: 62; 3: 30; 4: 9; 
IL-6_Signalling, 440, 11,  8,  298, 1, 4, 704352, 62553.50, 33, 0.00, 1: 46; 2: 64; 3: 32; 4: 7; 
IL-6_Signalling, 148,  8, 11,  298, 1, 4, 704352, 62553.50, 85, 0.00, 1: 48; 2: 59; 3: 36; 4: 6; 
IL-6_Signalling, 215,  8, 12,  298, 1, 4, 759924, 62553.50, 0, 0.00, 1: 45; 2: 65; 3: 33; 4: 6; 
IL-6_Signalling,  67, 11,  8,  298, 1, 4, 704352, 62553.50, 0, 0.00, 1: 45; 2: 64; 3: 35; 4: 5; 
IL-6_Signalling,  96, 11,  8,  298, 1, 4, 704352, 62553.50, 8, 0.00, 1: 47; 2: 62; 3: 33; 4: 7; 
IL-6_Signalling, 978,  7, 13,  298, 1, 4, 727832, 62553.50, 0, 0.00, 1: 42; 2: 71; 3: 30; 4: 6; 
IL-6_Signalling, 741, 10,  9,  298, 1, 4, 720358, 62553.50, 0, 0.00, 1: 39; 2: 76; 3: 29; 4: 5; 
IL-6_Signalling, 404,  7, 13,  298, 1, 4, 727763, 62553.50, 33, 0.00, 1: 51; 2: 52; 3: 41; 4: 5; 
IL-6_Signalling, 629,  8, 11,  298, 1, 4, 704352, 62553.50, 0, 0.00, 1: 46; 2: 63; 3: 34; 4: 6; 
IL-6_Signalling, 935,  8, 12,  298, 1, 4, 760027, 62553.50, 0, 0.00, 1: 49; 2: 55; 3: 41; 4: 4; 
IL-6_Signalling, 245, 10,  9,  298, 1, 4, 720321, 62553.50, 0, 0.00, 1: 47; 2: 61; 3: 35; 4: 6; 
IL-6_Signalling, 243,  7, 13,  298, 1, 4, 727837, 62553.50, 0, 0.00, 1: 49; 2: 55; 3: 41; 4: 4; 
IL-6_Signalling, 651,  9, 10,  298, 1, 4, 720342, 62553.50, 0, 0.00, 1: 44; 2: 64; 3: 38; 4: 3; 
IL-6_Signalling, 172,  9, 10,  298, 1, 4, 720342, 62553.50, 78, 0.00, 1: 49; 2: 57; 3: 37; 4: 6; 
IL-6_Signalling, 996, 10,  9,  298, 1, 4, 720352, 62553.50, 79, 0.00, 1: 45; 2: 64; 3: 35; 4: 5; 
IL-6_Signalling, 209, 10,  9,  299, 1, 4, 720349, 62553.50, 0, 0.00, 1: 48; 2: 57; 3: 39; 4: 5; 
IL-6_Signalling, 455,  9, 10,  299, 1, 4, 720323, 62553.50, 0, 0.00, 1: 42; 2: 67; 3: 37; 4: 3; 
IL-6_Signalling, 432, 11,  8,  299, 1, 4, 704352, 62553.50, 33, 0.00, 1: 43; 2: 67; 3: 34; 4: 5; 
IL-6_Signalling, 463,  8, 11,  299, 1, 4, 704352, 62553.50, 0, 0.00, 1: 42; 2: 67; 3: 37; 4: 3; 
IL-6_Signalling, 706,  9, 10,  299, 1, 4, 720350, 62553.50, 0, 0.00, 1: 54; 2: 50; 3: 35; 4: 10; 
IL-6_Signalling,  20, 10,  9,  299, 1, 4, 720307, 62553.50, 111, 0.00, 1: 43; 2: 65; 3: 38; 4: 3; 
IL-6_Signalling, 541,  8, 11,  299, 1, 4, 704352, 62553.50, 0, 0.00, 1: 47; 2: 59; 3: 38; 4: 5; 
IL-6_Signalling, 198,  9, 10,  299, 1, 4, 720352, 62553.50, 0, 0.00, 1: 45; 2: 64; 3: 34; 4: 6; 
IL-6_Signalling, 620,  8, 11,  299, 1, 4, 704352, 62553.50, 68, 0.00, 1: 45; 2: 66; 3: 30; 4: 8; 
IL-6_Signalling, 291, 10,  9,  299, 1, 4, 720345, 62553.50, 0, 0.00, 1: 44; 2: 65; 3: 35; 4: 5; 
IL-6_Signalling, 637, 10,  9,  299, 1, 4, 720400, 62553.50, 0, 0.00, 1: 46; 2: 61; 3: 37; 4: 5; 
IL-6_Signalling, 290,  8, 12,  299, 1, 4, 760090, 62553.50, 0, 0.00, 1: 45; 2: 61; 3: 40; 4: 3; 
IL-6_Signalling, 776, 10,  9,  299, 1, 4, 720357, 62553.50, 65, 0.00, 1: 47; 2: 59; 3: 38; 4: 5; 
IL-6_Signalling, 108,  8, 12,  299, 1, 4, 760054, 62553.50, 60, 0.00, 1: 44; 2: 64; 3: 37; 4: 4; 
IL-6_Signalling, 240, 11,  8,  299, 1, 4, 704352, 62553.50, 20, 0.00, 1: 43; 2: 67; 3: 34; 4: 5; 
IL-6_Signalling, 504,  8, 12,  299, 1, 4, 759911, 62553.50, 38, 0.00, 1: 44; 2: 66; 3: 33; 4: 6; 
IL-6_Signalling, 155,  7, 13,  299, 1, 4, 727806, 62553.50, 0, 0.00, 1: 47; 2: 61; 3: 34; 4: 7; 
IL-6_Signalling, 235,  7, 13,  299, 1, 4, 727820, 62553.50, 0, 0.00, 1: 48; 2: 60; 3: 33; 4: 8; 
IL-6_Signalling, 784,  9, 10,  299, 1, 4, 720347, 62553.50, 65, 0.00, 1: 48; 2: 59; 3: 35; 4: 7; 
IL-6_Signalling, 314, 11,  8,  299, 1, 4, 704352, 62553.50, 0, 0.00, 1: 47; 2: 60; 3: 36; 4: 6; 
IL-6_Signalling, 984,  9, 10,  299, 1, 4, 720340, 62553.50, 72, 0.00, 1: 45; 2: 65; 3: 32; 4: 7; 
IL-6_Signalling, 124,  8, 12,  299, 1, 4, 760113, 62553.50, 61, 0.00, 1: 46; 2: 63; 3: 33; 4: 7; 
