Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
3(614)
Apoptosis_network, 145,  5,  9,  117, 1, 3, 353176, 23851.12, 17, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 931,  6,  8,  117, 1, 3, 371931, 23851.12, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 380,  5,  9,  117, 1, 3, 353258, 23851.12, 2, 0.00, 1: 39; 2: 24; 3: 10; 
Apoptosis_network, 727,  6,  8,  117, 1, 3, 372010, 23851.12, 0, 0.00, 1: 38; 2: 26; 3: 9; 
Apoptosis_network, 626,  9,  5,  117, 1, 3, 353207, 23851.12, 121, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network,  23,  6,  7,  118, 1, 3, 330624, 23851.12, 0, 0.00, 1: 34; 2: 33; 3: 6; 
Apoptosis_network,  89,  5,  9,  118, 1, 3, 353282, 23851.12, 102, 0.00, 1: 34; 2: 33; 3: 6; 
Apoptosis_network, 574,  6,  7,  118, 1, 3, 330624, 23851.12, 0, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 669,  5, 10,  118, 1, 3, 384104, 23851.12, 85, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 688,  9,  5,  118, 1, 3, 353319, 23851.12, 0, 0.00, 1: 33; 2: 35; 3: 5; 
Apoptosis_network, 682,  6,  8,  118, 1, 3, 371948, 23851.12, 97, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network,  42,  7,  6,  118, 1, 3, 330624, 23851.12, 50, 0.00, 1: 37; 2: 27; 3: 9; 
Apoptosis_network, 240,  7,  6,  118, 1, 3, 330624, 23851.12, 0, 0.00, 1: 37; 2: 27; 3: 9; 
Apoptosis_network, 561,  9,  5,  118, 1, 3, 353217, 23851.12, 0, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 732,  7,  6,  118, 1, 3, 330624, 23851.12, 183, 0.00, 1: 34; 2: 33; 3: 6; 
Apoptosis_network, 666,  5, 10,  118, 1, 3, 384034, 23851.12, 86, 0.00, 1: 33; 2: 35; 3: 5; 
Apoptosis_network,  99,  6,  7,  118, 1, 3, 330624, 23851.12, 0, 0.00, 1: 38; 2: 25; 3: 10; 
Apoptosis_network, 622,  7,  6,  118, 1, 3, 330624, 23851.12, 100, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 589,  6,  8,  118, 1, 3, 372048, 23851.12, 85, 0.00, 1: 37; 2: 27; 3: 9; 
Apoptosis_network, 286,  6,  7,  118, 1, 3, 330624, 23851.12, 0, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 253,  7,  6,  118, 1, 3, 330624, 23851.12, 0, 0.00, 1: 33; 2: 35; 3: 5; 
Apoptosis_network,  98,  6,  8,  118, 1, 3, 371876, 23851.12, 0, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 708,  6,  8,  118, 1, 3, 371767, 23851.12, 183, 0.00, 1: 38; 2: 25; 3: 10; 
Apoptosis_network, 601,  4, 12,  118, 1, 3, 372035, 23851.12, 104, 0.00, 1: 38; 2: 25; 3: 10; 
Apoptosis_network, 217,  5,  9,  118, 1, 3, 353283, 23851.12, 103, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 781,  6,  8,  118, 1, 3, 372138, 23851.12, 85, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 710,  6,  7,  118, 1, 3, 330624, 23851.12, 0, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 632,  9,  5,  118, 1, 3, 353251, 23851.12, 0, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 720,  7,  6,  118, 1, 3, 330624, 23851.12, 64, 0.00, 1: 38; 2: 25; 3: 10; 
Apoptosis_network, 630,  5, 10,  118, 1, 3, 383936, 23851.12, 0, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 150,  6,  8,  118, 1, 3, 371871, 23851.12, 0, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 167,  5,  9,  118, 1, 3, 353210, 23851.12, 0, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 358,  6,  7,  118, 1, 3, 330624, 23851.12, 0, 0.00, 1: 32; 2: 37; 3: 4; 
Apoptosis_network, 891,  5,  9,  118, 1, 3, 353142, 23851.12, 0, 0.00, 1: 34; 2: 33; 3: 6; 
Apoptosis_network, 893,  5,  9,  118, 1, 3, 353228, 23851.12, 0, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 158,  5, 10,  118, 1, 3, 384024, 23851.12, 0, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 900,  5,  9,  118, 1, 3, 353211, 23851.12, 183, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 473,  6,  7,  118, 1, 3, 330624, 23851.12, 104, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 901,  7,  6,  118, 1, 3, 330624, 23851.12, 85, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 903,  7,  6,  118, 1, 3, 330624, 23851.12, 0, 0.00, 1: 34; 2: 33; 3: 6; 
Apoptosis_network, 391,  6,  8,  118, 1, 3, 371860, 23851.12, 0, 0.00, 1: 38; 2: 25; 3: 10; 
Apoptosis_network, 431,  6,  7,  118, 1, 3, 330624, 23851.12, 0, 0.00, 1: 34; 2: 33; 3: 6; 
Apoptosis_network, 197,  7,  6,  118, 1, 3, 330624, 23851.12, 85, 0.00, 1: 34; 2: 33; 3: 6; 
Apoptosis_network, 148,  9,  5,  118, 1, 3, 353238, 23851.12, 183, 0.00, 1: 36; 2: 29; 3: 8; 
