Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(698)
Melhor resultado nxn: Apoptosis_network, 649,  5, 10,   88, 1, 2, 384274, 23464.91, 26, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 485,  5, 10,   93, 1, 2, 383999, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  71,  9,  5,   93, 1, 2, 353228, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 729,  7,  6,   93, 1, 2, 330624, 23464.91, 41, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 454,  4, 11,   93, 1, 2, 346070, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 144,  5, 10,   93, 1, 2, 384221, 23464.91, 176, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 247,  5, 10,   94, 1, 2, 384113, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 245,  6,  8,   94, 1, 2, 371622, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 248,  9,  5,   94, 1, 2, 352979, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 385,  7,  6,   94, 1, 2, 330624, 23464.91, 72, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 497,  4, 12,   94, 1, 2, 371737, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 347,  7,  6,   94, 1, 2, 330624, 23464.91, 212, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 243,  6,  7,   94, 1, 2, 330624, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 874,  9,  5,   94, 1, 2, 353184, 23464.91, 97, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 713,  5, 10,   94, 1, 2, 384335, 23464.91, 33, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 765,  5, 10,   94, 1, 2, 383693, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 119,  4, 12,   94, 1, 2, 372089, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 856,  9,  5,   94, 1, 2, 353040, 23464.91, 232, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 894,  5, 10,   94, 1, 2, 384050, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 663,  9,  5,   94, 1, 2, 353209, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 711,  7,  6,   94, 1, 2, 330624, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 998,  9,  5,   94, 1, 2, 353369, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 597,  5,  9,   94, 1, 2, 353288, 23464.91, 85, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 309,  9,  5,   94, 1, 2, 353199, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 401,  9,  5,   94, 1, 2, 353288, 23464.91, 72, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 961,  6,  7,   94, 1, 2, 330624, 23464.91, 34, 0.00, 1: 52; 2: 21; 
Apoptosis_network,  18,  6,  7,   94, 1, 2, 330624, 23464.91, 36, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 878,  4, 11,   94, 1, 2, 345821, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 481,  5,  9,   94, 1, 2, 353255, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 794,  7,  6,   94, 1, 2, 330624, 23464.91, 36, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 286,  6,  7,   94, 1, 2, 330624, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 285,  5, 10,   94, 1, 2, 383809, 23464.91, 85, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 725,  5, 10,   94, 1, 2, 383369, 23464.91, 85, 0.00, 1: 52; 2: 21; 
